time/total_timesteps,train/learning_rate,train/critic_loss,train/ent_coef,train/ent_coef_loss,rollout/ep_len_mean,time/episodes,train/n_updates,rollout/ep_rew_mean,time/fps,train/actor_loss,time/time_elapsed
27831,0.0003,26.245195388793945,0.09188885241746902,0.5711845755577087,161.77,168,27730,239.46287791000006,50,-66.8687973022461,547
28534,0.0003,67.39412689208984,0.09248080104589462,-0.7650395035743713,162.8,172,28433,243.94711646,50,-70.21658325195312,560
29241,0.0003,161.54888916015625,0.08882149308919907,0.3737197518348694,163.31,176,29140,247.01948863,50,-65.03385162353516,573
30127,0.0003,36.030548095703125,0.08962266147136688,-0.8762121200561523,166.01,180,30026,253.85441058,50,-65.59609985351562,590
30741,0.0003,34.681766510009766,0.09198036044836044,0.1370375156402588,167.71,184,30640,256.92405619,50,-69.42733764648438,602
31217,0.0003,149.3067626953125,0.0923844501376152,0.7581727504730225,166.48,188,31116,257.62278214,50,-65.89414978027344,612
32143,0.0003,26.211116790771484,0.0922953337430954,-0.10780248045921326,167.44,192,32042,258.4128634,50,-67.89825439453125,631
32552,0.0003,45.96080017089844,0.0902576670050621,0.2917553782463074,165.84,196,32451,253.50426755,50,-71.01664733886719,639
33228,0.0003,81.279296875,0.08671718835830688,0.23514533042907715,165.27,200,33127,252.87542625000003,50,-68.49629211425781,652
33852,0.0003,67.69178771972656,0.09308033436536789,-0.04561235010623932,166.07,204,33751,254.89388783,50,-69.7605972290039,664
34586,0.0003,25.355560302734375,0.08883748203516006,-0.13515779376029968,166.8,208,34485,264.46838093,50,-69.91312408447266,679
35145,0.0003,16.939571380615234,0.09333588927984238,-0.5520173907279968,166.33,212,35044,262.50990829,50,-69.92462158203125,690
35919,0.0003,44.07606506347656,0.0891478955745697,0.24063250422477722,167.57,216,35818,249.41370959,50,-69.74320220947266,706
36873,0.0003,50.696693420410156,0.09220001101493835,-0.30050724744796753,171.16,220,36772,257.34231274999996,50,-70.34933471679688,726
37568,0.0003,84.818603515625,0.09431044012308121,-0.2972763478755951,171.69,224,37467,260.21200215,50,-70.65816497802734,740
38145,0.0003,22.532428741455078,0.09551988542079926,0.15412376821041107,169.14,228,38044,256.95829567,50,-68.00865173339844,751
38768,0.0003,53.59025573730469,0.09714909642934799,-0.2519707977771759,170.1,232,38667,260.20388136,50,-71.26229095458984,763
39223,0.0003,43.25450897216797,0.094968780875206,-0.7889643311500549,165.51,236,39122,255.12204566,50,-71.2021713256836,772
39945,0.0003,131.34817504882812,0.09366030246019363,-0.7278560996055603,165.62,240,39844,254.89642332000003,50,-70.12025451660156,786
40547,0.0003,31.0205020904541,0.09477870911359787,-0.28319597244262695,163.75,244,40446,252.04977338999998,50,-70.5147705078125,798
41561,0.0003,38.22021484375,0.09240008890628815,0.26357561349868774,167.92,248,41460,258.79835226999995,50,-68.50991821289062,818
42257,0.0003,46.26708221435547,0.09642070531845093,-0.08888233453035355,169.54,252,42156,260.68313087,50,-66.17599487304688,832
43079,0.0003,7.061357498168945,0.09601068496704102,-0.40873464941978455,171.31,256,42978,263.16533639,50,-69.4414291381836,849
43856,0.0003,33.99456787109375,0.09733178466558456,-0.26393917202949524,173.26,260,43755,266.39087873,50,-68.56900024414062,864
44646,0.0003,119.12092590332031,0.09560910612344742,-0.42326027154922485,174.54,264,44545,270.36016836,50,-70.0324935913086,880
45421,0.0003,50.852012634277344,0.09649892151355743,-0.44325751066207886,175.9,268,45320,275.6727669499999,50,-67.95557403564453,895
46036,0.0003,38.67238235473633,0.09749822318553925,-0.2958731949329376,175.02,272,45935,274.76111542999996,50,-68.04550170898438,906
46908,0.0003,153.93441772460938,0.09168507158756256,0.5029534697532654,176.67,276,46807,275.29869605000005,50,-67.866455078125,924
47648,0.0003,32.322364807128906,0.09314002841711044,0.6017003059387207,175.21,280,47547,273.73043988,50,-69.13543701171875,941
48332,0.0003,47.20524215698242,0.09487970173358917,-0.07993771880865097,175.91,284,48231,272.72833418000005,50,-67.72319030761719,955
49057,0.0003,114.89364624023438,0.09589115530252457,0.01008487120270729,178.4,288,48956,277.25973906,50,-67.225341796875,969
49767,0.0003,52.27275085449219,0.09863009303808212,-0.17627233266830444,176.24,292,49666,277.65988168,50,-64.25108337402344,983
50293,0.0003,21.1954288482666,0.09848830848932266,0.3759574294090271,177.41,296,50192,282.25645034999997,50,-66.95753479003906,994
50912,0.0003,82.565185546875,0.1034247875213623,0.03549794852733612,176.84,300,50811,282.58009911,50,-69.40937042236328,1006
51625,0.0003,44.08739471435547,0.10265325754880905,0.5484380722045898,177.73,304,51524,284.37314541,50,-67.31153869628906,1020
52311,0.0003,31.8929443359375,0.10000395774841309,-0.2998752295970917,177.25,308,52210,277.54065933000004,50,-68.05795288085938,1033
