rollout/ep_len_mean,time/time_elapsed,train/n_updates,train/ent_coef,train/ent_coef_loss,time/episodes,time/fps,time/total_timesteps,train/learning_rate,rollout/ep_rew_mean,train/critic_loss,train/actor_loss
301.3125,1056,24004,0.00933967437595129,0.9572781920433044,80,22,24105,0.0003,18.807918899999997,0.1292169988155365,-11.187583923339844
306.7857142857143,1131,25669,0.0093174297362566,-0.532478928565979,84,22,25770,0.0003,19.893026154761905,1.0709480047225952,-10.947181701660156
307.3863636363636,1189,26949,0.009716621600091457,0.17995432019233704,88,22,27050,0.0003,20.591414068181816,0.12620936334133148,-10.056062698364258
305.25,1236,27982,0.010219433344900608,0.9989543557167053,92,22,28083,0.0003,20.91666223913043,0.5386421084403992,-9.7013521194458
302.59375,1280,28948,0.010148761793971062,2.0491647720336914,96,22,29049,0.0003,21.04341321875,0.43451303243637085,-9.54095458984375
301.37,1329,30036,0.01034516841173172,-0.15535390377044678,100,22,30137,0.0003,21.499242620000004,0.42182016372680664,-9.425704956054688
306.56,1386,31308,0.010306158103048801,-0.5900339484214783,104,22,31409,0.0003,22.70159409,0.11705267429351807,-9.329569816589355
306.65,1436,32401,0.010585932992398739,-0.39118248224258423,108,22,32502,0.0003,23.688514249999997,0.15396851301193237,-9.223453521728516
307.11,1482,33420,0.010175097733736038,1.250319004058838,112,22,33521,0.0003,24.406659240000003,0.1071174293756485,-8.494462013244629
305.86,1529,34453,0.009297732263803482,0.1841021180152893,116,22,34554,0.0003,25.179920420000002,0.06409060955047607,-8.558069229125977
300.04,1585,35689,0.009285557083785534,1.057852029800415,120,22,35790,0.0003,25.82526034,0.14530768990516663,-8.447550773620605
298.86,1648,37077,0.009976295754313469,-1.4783121347427368,124,22,37178,0.0003,27.085105070000004,0.6243197917938232,-8.339571952819824
294.65,1709,38412,0.010177412070333958,0.14844422042369843,128,22,38513,0.0003,27.68837118,0.28426629304885864,-8.221858978271484
290.86,1754,39412,0.008995580486953259,0.6190909147262573,132,22,39513,0.0003,28.27372912,0.10619617998600006,-7.627326011657715
288.15,1805,40526,0.00891913939267397,0.45954644680023193,136,22,40627,0.0003,28.69510637999999,0.07741779088973999,-7.585534572601318
286.35,1863,41793,0.009120567701756954,0.015660300850868225,140,22,41894,0.0003,29.401915999999996,0.4181355834007263,-8.002521514892578
286.46,1933,43310,0.008810092695057392,1.4390647411346436,144,22,43411,0.0003,29.875557230000005,0.2912542223930359,-7.600335121154785
286.75,1991,44587,0.008706243708729744,1.5980983972549438,148,22,44688,0.0003,30.397861020000004,0.10758271813392639,-7.346963882446289
288.66,2056,46013,0.008285240270197392,-1.4003498554229736,152,22,46114,0.0003,30.70809884,0.3819734752178192,-7.341796398162842
290.31,2105,47105,0.008427761495113373,0.043417543172836304,156,22,47206,0.0003,30.742812129999994,0.3275831937789917,-7.27799654006958
292.55,2159,48278,0.008333825506269932,-0.34561488032341003,160,22,48379,0.0003,31.132671839999993,0.11411475390195847,-6.943996906280518
298.15,2225,49693,0.007384096272289753,3.094963550567627,164,22,49794,0.0003,31.480322540000003,0.35510146617889404,-7.213822364807129
302.88,2293,51181,0.008821282535791397,-0.6900187134742737,168,22,51282,0.0003,32.27405983,0.18274050951004028,-7.309965133666992
306.19,2354,52505,0.00876194704324007,1.471379041671753,172,22,52606,0.0003,33.03389194000001,0.834478497505188,-7.101341724395752
307.46,2397,53447,0.008613750338554382,-0.41521838307380676,176,22,53548,0.0003,33.415606939999996,0.17908307909965515,-6.894314765930176
305.32,2448,54536,0.008907008916139603,-1.7419583797454834,180,22,54637,0.0003,33.30134767,0.2221856266260147,-7.195528507232666
302.11,2510,55880,0.008603065274655819,-0.313170850276947,184,22,55981,0.0003,33.15626235,0.2903798818588257,-6.809890270233154
302.66,2571,57215,0.00855407677590847,-0.35162878036499023,188,22,57316,0.0003,33.27123947,0.3335402011871338,-6.631442070007324
303.12,2620,58294,0.008563390001654625,-0.2476460188627243,192,22,58395,0.0003,33.1620936,0.11146439611911774,-6.734338760375977
309.5,2693,59898,0.008452149108052254,0.9728848934173584,196,22,59999,0.0003,34.17464124,0.39901283383369446,-6.73948860168457
309.69,2744,61005,0.008461694233119488,-0.466042160987854,200,22,61106,0.0003,33.93469322,0.10654351115226746,-6.371659755706787
307.61,2793,62069,0.008118905127048492,0.6387683153152466,204,22,62170,0.0003,33.70602187000001,0.11743494868278503,-6.50515604019165
309.01,2850,63302,0.007847768254578114,0.15224817395210266,208,22,63403,0.0003,33.7251859,0.4049313962459564,-6.786555767059326
313.04,2916,64724,0.007534198462963104,-1.4401953220367432,212,22,64825,0.0003,34.278094450000005,0.14801697432994843,-6.815149784088135
314.38,2971,65891,0.0077103483490645885,0.2702397108078003,216,22,65992,0.0003,34.263496290000006,0.4140300750732422,-6.945926666259766
313.18,3023,67007,0.007572759408503771,-1.4749888181686401,220,22,67108,0.0003,33.93662835,0.21172696352005005,-6.767999649047852
311.57,3080,68234,0.007283967453986406,-0.4648417830467224,224,22,68335,0.0003,33.31465497,0.2583426237106323,-6.764420509338379
316.98,3167,70110,0.00796798150986433,0.015946000814437866,228,22,70211,0.0003,34.281588879999994,0.1359080970287323,-6.618624210357666
320.58,3231,71470,0.008091256022453308,-0.4095720648765564,232,22,71571,0.0003,34.76291336,0.5282635688781738,-6.352793216705322
322.04,3290,72730,0.007982276380062103,-0.4153633713722229,236,22,72831,0.0003,35.05881092,0.4997274875640869,-6.44092321395874
322.04,3350,73997,0.007401274051517248,-0.44122013449668884,240,22,74098,0.0003,34.87856113,0.12656040489673615,-6.376246452331543
319.54,3409,75264,0.0078052650205791,-1.147303819656372,244,22,75365,0.0003,34.673440799999995,0.4287779927253723,-6.260586738586426
317.73,3460,76360,0.0076989298686385155,2.0761122703552246,248,22,76461,0.0003,34.46580774,0.3112014830112457,-6.359040260314941
312.98,3505,77311,0.007744538597762585,0.37438464164733887,252,22,77412,0.0003,33.98010132,0.16309864819049835,-6.405159950256348
314.58,3563,78563,0.007758488412946463,-1.4485549926757812,256,22,78664,0.0003,33.99432623,0.10064397007226944,-6.296986103057861
314.34,3616,79712,0.007607750594615936,-1.7896614074707031,260,22,79813,0.0003,33.85646303,0.08656132966279984,-6.602697849273682
311.73,3671,80866,0.007509325165301561,1.7348849773406982,264,22,80967,0.0003,33.95698407,0.20206789672374725,-6.694893836975098
309.48,3730,82129,0.00728459982201457,-1.1975876092910767,268,22,82230,0.0003,33.40958066,0.13220807909965515,-6.327856063842773
311.53,3801,83658,0.007456623483449221,-1.7082874774932861,272,22,83759,0.0003,33.36696344,0.29588013887405396,-6.228454113006592
313.26,3854,84773,0.0075427573174238205,0.29220548272132874,276,22,84874,0.0003,33.27834924,0.2565234899520874,-6.320578575134277
313.36,3906,85872,0.007280502002686262,-0.5974227786064148,280,22,85973,0.0003,33.204144580000005,0.04776531457901001,-6.297019958496094
315.85,3980,87465,0.007059489842504263,-0.02385532855987549,284,21,87566,0.0003,33.449370419999994,0.2012198269367218,-6.281534194946289
315.39,4040,88754,0.007369480561465025,-1.288313388824463,288,21,88855,0.0003,33.36484751,0.04968646168708801,-6.612370014190674
315.09,4090,89803,0.007622391451150179,-0.14431387186050415,292,21,89904,0.0003,33.28667525,0.45718103647232056,-6.490674018859863
308.87,4136,90785,0.007838470861315727,0.7126505374908447,296,21,90886,0.0003,32.26065225,0.3022806644439697,-6.251798152923584
307.17,4180,91722,0.007717035245150328,1.1417627334594727,300,21,91823,0.0003,32.08442568,0.40436574816703796,-6.37699556350708
307.99,4234,92868,0.007579233031719923,-0.180026113986969,304,21,92969,0.0003,32.423775479999996,0.7780501842498779,-6.468141555786133
307.94,4292,94096,0.007516314275562763,0.956291139125824,308,21,94197,0.0003,32.34690707,0.07416883856058121,-5.99826717376709
305.15,4346,95239,0.007625877857208252,0.05484732985496521,312,21,95340,0.0003,31.95545584,0.04086127504706383,-6.203463554382324
308.55,4417,96746,0.007788787130266428,1.1639492511749268,316,21,96847,0.0003,32.547184599999994,0.06676022708415985,-5.952897071838379
308.49,4469,97856,0.007743246387690306,0.05350267142057419,320,21,97957,0.0003,32.68389499,0.16592635214328766,-6.207813739776611
304.88,4510,98722,0.007889908738434315,-2.4172255992889404,324,21,98823,0.0003,32.269615189999996,0.24661372601985931,-6.305643081665039
298.74,4569,99984,0.0077797118574380875,0.4891306757926941,328,21,100085,0.0003,31.380100620000007,0.23555997014045715,-6.385576248168945
299.15,4635,101385,0.007984796538949013,-0.3718632161617279,332,21,101486,0.0003,31.302915559999995,0.1255839765071869,-6.074779033660889
298.14,4690,102544,0.008260147646069527,-0.18400748074054718,336,21,102645,0.0003,31.17288811,0.20609664916992188,-6.225465774536133
298.86,4753,103883,0.008348561823368073,0.29454368352890015,340,21,103984,0.0003,31.38663339,0.469369113445282,-6.158147811889648
297.0,4803,104964,0.008113064803183079,0.3446516990661621,344,21,105065,0.0003,30.98104119999999,0.21727026998996735,-6.459861755371094
296.31,4851,105991,0.00817438866943121,-1.0943795442581177,348,21,106092,0.0003,30.85917557,0.1457807719707489,-6.267481803894043
297.3,4901,107041,0.008001292124390602,0.6768796443939209,352,21,107142,0.0003,31.04956482,0.21391001343727112,-6.198052406311035
296.21,4954,108184,0.00792310107499361,-0.6254144310951233,356,21,108285,0.0003,31.053364589999997,0.25442183017730713,-6.243380069732666
297.04,5012,109416,0.007984389550983906,-0.5498810410499573,360,21,109517,0.0003,30.953674120000002,0.3031831979751587,-6.029355525970459
298.7,5074,110736,0.008542455732822418,0.13018593192100525,364,21,110837,0.0003,31.041175169999995,0.10016588866710663,-6.356880187988281
297.64,5129,111893,0.007777675520628691,0.5123435258865356,368,21,111994,0.0003,31.029407009999996,0.5737032890319824,-6.001996040344238
294.01,5183,113059,0.00832824781537056,-2.4478330612182617,372,21,113160,0.0003,30.641043229999994,0.12253700196743011,-6.429688453674316
295.21,5241,114294,0.007819282822310925,2.0705995559692383,376,21,114395,0.0003,30.843147230000003,0.0772438496351242,-6.135240077972412
296.02,5297,115474,0.008298133499920368,-0.06855365633964539,380,21,115575,0.0003,31.09443085,0.23863938450813293,-6.128061294555664
292.91,5357,116756,0.007889731787145138,-0.9220901131629944,384,21,116857,0.0003,30.747678050000005,0.1250726282596588,-6.452497959136963
292.39,5415,117993,0.008046927861869335,0.5699193477630615,388,21,118094,0.0003,30.40805513,0.2297402024269104,-6.083555221557617
294.51,5474,119254,0.007567658554762602,1.2712411880493164,392,21,119355,0.0003,30.861034599999993,0.21563448011875153,-6.175067901611328
295.85,5527,120370,0.008129232563078403,0.2536008656024933,396,21,120471,0.0003,31.03540986,0.2189633846282959,-5.9636993408203125
298.73,5584,121595,0.008335983380675316,2.2743048667907715,400,21,121696,0.0003,31.534734029999996,0.18594929575920105,-6.041465759277344
298.31,5636,122699,0.008743366226553917,1.5274622440338135,404,21,122800,0.0003,31.232910209999996,0.5010107159614563,-6.086266994476318
301.8,5710,124276,0.007721521891653538,-0.17656631767749786,408,21,124377,0.0003,32.04328052,0.09273406118154526,-6.056173801422119
300.26,5757,125265,0.0072515541687607765,-0.22744625806808472,412,21,125366,0.0003,31.764303510000005,0.1381443738937378,-6.242704391479492
298.03,5817,126549,0.007367495447397232,1.6658873558044434,416,21,126650,0.0003,31.48244694,0.30115944147109985,-6.068532943725586
299.42,5876,127798,0.00727703794836998,1.170771837234497,420,21,127899,0.0003,31.669164699999996,0.4520756006240845,-6.1057538986206055
303.56,5936,129078,0.007449164055287838,0.41050440073013306,424,21,129179,0.0003,32.155622400000006,0.17005905508995056,-6.058441162109375
304.7,6001,130454,0.00730113172903657,1.2896342277526855,428,21,130555,0.0003,32.415408320000004,0.15710219740867615,-6.333310127258301
299.63,6043,131348,0.007230840623378754,0.8394896388053894,432,21,131449,0.0003,31.881201890000003,0.04421241581439972,-6.121696472167969
301.2,6105,132664,0.007149519864469767,0.8794952034950256,436,21,132765,0.0003,31.9940289,0.12365133315324783,-6.163500785827637
299.13,6158,133796,0.007462521083652973,-0.8872847557067871,440,21,133897,0.0003,31.86526311,0.22918249666690826,-6.138578414916992
299.42,6210,134906,0.007048914209008217,-1.8304344415664673,444,21,135007,0.0003,32.0126146,0.3412535786628723,-6.111176490783691
304.37,6282,136428,0.007395643275231123,0.8966088891029358,448,21,136529,0.0003,32.838262,0.2771637737751007,-6.137763023376465
308.76,6351,137917,0.007719438523054123,-1.054142713546753,452,21,138018,0.0003,33.16237583,0.4132523536682129,-6.066196918487549
311.21,6416,139305,0.007162441965192556,1.7178232669830322,456,21,139406,0.0003,33.66316282,0.30687546730041504,-5.971467971801758
313.79,6486,140795,0.007019501645117998,0.49381202459335327,460,21,140896,0.0003,34.08095962,0.12573786079883575,-5.861247539520264
313.02,6544,142038,0.007040100172162056,0.4102919399738312,464,21,142139,0.0003,34.13889838,0.26482704281806946,-6.446861267089844
313.97,6603,143290,0.007203083019703627,-1.107884407043457,468,21,143391,0.0003,34.4682932,0.526251494884491,-6.091939449310303
315.74,6665,144633,0.007068004924803972,-0.1795262098312378,472,21,144734,0.0003,34.76787197000001,0.08751825988292694,-6.252337455749512
317.62,6732,146056,0.007641267497092485,0.12929999828338623,476,21,146157,0.0003,35.16747065,0.5561914443969727,-6.338250160217285
316.52,6782,147126,0.007512999698519707,0.7089145183563232,480,21,147227,0.0003,34.94926009,0.34357506036758423,-6.256852626800537
317.11,6844,148467,0.006934484001249075,1.287948727607727,484,21,148568,0.0003,35.11102435,0.2959917187690735,-6.430567264556885
315.04,6893,149497,0.006888960022479296,-0.0695129930973053,488,21,149598,0.0003,35.04035709000001,0.1001443937420845,-6.341949939727783
313.73,6946,150627,0.0068814512342214584,-0.6863470077514648,492,21,150728,0.0003,34.82043691,0.11228536814451218,-6.233471393585205
313.86,6998,151756,0.006796809379011393,-0.29017412662506104,496,21,151857,0.0003,35.09664979,0.026082102209329605,-6.227261066436768
315.24,7062,153119,0.006747901439666748,-0.7947795987129211,500,21,153220,0.0003,35.15374745,0.6169806718826294,-6.483338356018066
318.45,7130,154544,0.006741308607161045,0.07830613851547241,504,21,154645,0.0003,35.50365989,0.1844119429588318,-6.338252544403076
316.41,7194,155917,0.006596689578145742,-0.6738353967666626,508,21,156018,0.0003,35.131292,0.06459380686283112,-6.503222465515137
316.65,7241,156930,0.006788329686969519,-1.0110902786254883,512,21,157031,0.0003,35.25647251,0.3672235608100891,-6.13837194442749
321.25,7323,158674,0.006922758650034666,2.1429061889648438,516,21,158775,0.0003,36.13740081,0.20704030990600586,-6.33356237411499
320.41,7377,159839,0.007293890230357647,-0.18354089558124542,520,21,159940,0.0003,35.88828543,0.07999680936336517,-6.287672996520996
318.91,7430,160969,0.006703547667711973,0.9033521413803101,524,21,161070,0.0003,36.04322757,0.35841307044029236,-6.467959403991699
317.91,7490,162245,0.006898186635226011,-0.6502967476844788,528,21,162346,0.0003,35.98118499,0.2676835060119629,-6.717154502868652
