train/learning_rate,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,train/actor_loss,train/n_updates,train/ent_coef,time/total_timesteps,train/critic_loss,train/ent_coef_loss,time/episodes,time/fps
0.0003,376.89285714285717,1398,23.273144559523807,-9.123701095581055,31558,0.005964963231235743,31659,0.2607382535934448,0.9747957587242126,84,22
0.0003,377.60227272727275,1469,23.809327034090913,-8.811018943786621,33128,0.0059570129960775375,33229,0.10132646560668945,0.5837085843086243,88,22
0.0003,377.69565217391306,1539,24.39690110869565,-8.319035530090332,34647,0.006841248366981745,34748,0.10581864416599274,-1.0090128183364868,92,22
0.0003,375.3020833333333,1597,24.349511208333336,-8.222905158996582,35928,0.006500452756881714,36029,0.27677810192108154,1.7900886535644531,96,22
0.0003,374.99,1664,24.58650367,-8.124045372009277,37398,0.006601560860872269,37499,0.28067827224731445,0.3463119864463806,100,22
0.0003,377.39,1735,25.379437480000007,-7.903421401977539,38926,0.006364654283970594,39027,0.14758171141147614,0.15695640444755554,104,22
0.0003,375.88,1795,26.050907500000005,-7.873688697814941,40228,0.006142042111605406,40329,0.22432243824005127,-0.7607201933860779,108,22
0.0003,378.48,1870,27.468455589999998,-7.443362712860107,41850,0.006712808273732662,41951,0.09105505794286728,-2.0932791233062744,112,22
0.0003,374.68,1943,28.520888470000003,-7.382429599761963,43430,0.006467007100582123,43531,0.16292992234230042,-0.3372848927974701,116,22
0.0003,372.39,2010,29.55450565,-7.553172588348389,44876,0.006875803228467703,44977,0.05779433995485306,-2.083085298538208,120,22
0.0003,372.15,2074,30.069979430000004,-6.946682929992676,46277,0.006606240291148424,46378,0.1472664177417755,0.35195767879486084,124,22
0.0003,366.78,2155,30.22779765,-7.142468452453613,48035,0.006785258650779724,48136,0.25582584738731384,-0.46366798877716064,128,22
0.0003,366.64,2216,30.854922129999995,-7.049223899841309,49321,0.006993712391704321,49422,0.10230278968811035,1.5366383790969849,132,22
0.0003,366.24,2270,31.508225619999997,-6.849536895751953,50494,0.007444551680237055,50595,0.23449349403381348,0.8076835870742798,136,22
0.0003,355.67,2318,31.557175280000006,-6.822457790374756,51537,0.007944797165691853,51638,0.14106938242912292,0.7298201322555542,140,22
0.0003,361.79,2389,32.91308931,-6.554804801940918,53081,0.008893589489161968,53182,0.14158834517002106,-0.2781769037246704,144,22
0.0003,357.51,2432,32.72190979,-6.762851715087891,54003,0.008791266940534115,54104,0.14451435208320618,-1.733217477798462,148,22
0.0003,358.64,2486,32.97079295,-6.832070350646973,55162,0.008102070540189743,55263,0.22298875451087952,-0.8515341281890869,152,22
0.0003,352.7,2534,32.6897827,-6.4249420166015625,56222,0.008146414533257484,56323,0.11908279359340668,0.4075934886932373,156,22
0.0003,351.48,2584,32.75785889,-6.596635818481445,57281,0.008429412730038166,57382,0.3474544882774353,0.643581748008728,160,22
0.0003,345.39,2639,32.371605429999995,-6.501776218414307,58498,0.00863854493945837,58599,0.1832352578639984,0.8907835483551025,164,22
0.0003,348.22,2713,33.151197159999995,-6.400042533874512,60095,0.008610641583800316,60196,0.48589572310447693,0.7998338937759399,168,22
0.0003,342.11,2768,33.04043308,-6.197539329528809,61310,0.009254363365471363,61411,0.2169717401266098,-0.1670112907886505,172,22
0.0003,338.47,2821,32.756204360000005,-6.5496392250061035,62444,0.009260715916752815,62545,0.16691023111343384,-0.10579119622707367,176,22
0.0003,338.72,2886,33.19303539,-6.331004619598389,63850,0.009401734918355942,63951,0.5206812620162964,0.573571503162384,180,22
