time/episodes,train/n_updates,rollout/ep_rew_mean,time/fps,time/total_timesteps,train/ent_coef,train/learning_rate,train/critic_loss,rollout/ep_len_mean,time/time_elapsed,train/actor_loss,train/ent_coef_loss
116,40326,25.45810813,12,40427,0.007395375519990921,0.0003,0.26005592942237854,348.02,3168,-7.958761215209961,-0.22605279088020325
120,41191,25.125241100000004,12,41292,0.007582699414342642,0.0003,0.1914350837469101,336.55,3237,-7.585666179656982,-1.1604604721069336
124,42103,25.318157380000006,12,42204,0.007315911818295717,0.0003,0.11659619212150574,331.71,3310,-7.517284870147705,-0.319644570350647
128,43186,25.5867431,12,43287,0.007364179939031601,0.0003,0.11467811465263367,327.84,3387,-7.469293117523193,-0.12085296213626862
132,44213,25.31075796,12,44314,0.007195431273430586,0.0003,0.21000982820987701,318.12,3465,-7.481427192687988,-2.0537307262420654
136,45142,25.398983689999994,12,45243,0.007362045347690582,0.0003,0.21923789381980896,313.3,3534,-7.112958908081055,-1.5630621910095215
140,45872,25.07755947,12,45973,0.007311820983886719,0.0003,0.048587098717689514,305.81,3592,-7.087410926818848,-0.6595468521118164
144,46707,25.461339850000005,12,46808,0.007851867005228996,0.0003,0.13758449256420135,301.28,3659,-7.064852237701416,1.4222846031188965
148,47855,26.166966539999994,12,47956,0.008113003335893154,0.0003,0.06649433076381683,302.07,3750,-6.8799591064453125,2.1739373207092285
152,49207,26.94246121999999,12,49308,0.007466482929885387,0.0003,0.25382277369499207,300.84,3855,-6.566581726074219,0.030275821685791016
156,50073,26.820562649999996,12,50174,0.007635094225406647,0.0003,0.043132759630680084,293.86,3918,-6.646864891052246,-0.0768699198961258
160,51003,26.432615439999996,12,51104,0.007545419503003359,0.0003,0.2844749391078949,287.47,3986,-6.842343807220459,0.6336009502410889
164,52044,26.145583649999995,12,52145,0.007342328783124685,0.0003,0.0873393714427948,284.0,4065,-6.346565246582031,-1.7261319160461426
168,53300,26.26900274,12,53401,0.007418353576213121,0.0003,0.11944323778152466,283.8,4162,-6.8430070877075195,0.5028356313705444
172,54335,25.87911676,12,54436,0.007524759508669376,0.0003,0.11263380199670792,280.3,4242,-6.501767635345459,-1.383062720298767
176,55399,25.67122408,12,55500,0.007426678203046322,0.0003,0.18981149792671204,276.28,4327,-6.226420879364014,-0.7480167746543884
180,56614,26.21053973,12,56715,0.007151654455810785,0.0003,0.08164927363395691,279.14,4420,-6.388154029846191,-0.3057696223258972
184,57801,26.509744040000005,12,57902,0.0074756452813744545,0.0003,0.3736621141433716,277.39,4509,-6.2336835861206055,-0.008809909224510193
