train/learning_rate,train/ent_coef_loss,time/time_elapsed,time/total_timesteps,train/n_updates,time/episodes,train/critic_loss,train/actor_loss,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,train/ent_coef
0.0003,-1.4679162502288818,522,28571,119633,172,45.251258850097656,-43.27526092529297,166.54,54,218.96565962,0.08318345993757248
0.0003,0.5749332904815674,534,29198,120260,176,44.166015625,-42.80601501464844,167.64,54,220.56921505000003,0.08409251272678375
0.0003,-0.8800271153450012,545,29792,120854,180,87.40935516357422,-42.46686553955078,167.49,54,220.97747366,0.08591228723526001
0.0003,-0.749308705329895,556,30426,121488,184,24.455886840820312,-45.35587692260742,167.19,54,221.45186410000002,0.08636274188756943
0.0003,0.9959204792976379,564,30852,121914,188,46.692466735839844,-40.77838897705078,164.35,54,215.30191869,0.08661358803510666
0.0003,3.341433525085449,583,31804,122866,192,58.042625427246094,-42.44960403442383,167.89,54,219.55779445,0.08696852624416351
0.0003,0.6692975759506226,596,32487,123549,196,32.879844665527344,-44.92961120605469,169.5,54,220.78509283,0.08356792479753494
0.0003,-1.6929540634155273,609,33217,124279,200,27.200862884521484,-41.28564453125,170.17,54,219.67637847999998,0.08214329928159714
0.0003,-1.2473113536834717,624,34016,125078,204,17.729541778564453,-42.73402786254883,172.33,54,222.0350301,0.08248990774154663
0.0003,0.26407283544540405,636,34611,125673,208,30.406021118164062,-43.500328063964844,169.61,54,215.43556858999997,0.08200589567422867
0.0003,0.026291191577911377,649,35285,126347,212,88.0412826538086,-42.29282760620117,168.2,54,216.60837309999997,0.08291085809469223
0.0003,-1.5488479137420654,662,36011,127073,216,29.870071411132812,-46.10145568847656,169.58,54,219.97861439,0.08194934576749802
0.0003,1.2273077964782715,675,36730,127792,220,41.31121063232422,-44.30158233642578,167.47,54,219.79022421000002,0.07866829633712769
0.0003,-0.24490554630756378,684,37239,128301,224,44.515838623046875,-45.65114974975586,166.54,54,218.69408665,0.0782981738448143
0.0003,-1.7242273092269897,699,38008,129070,228,25.438873291015625,-40.70610427856445,169.43,54,226.47432833000002,0.08023238182067871
0.0003,-0.21660970151424408,711,38613,129675,232,19.34355926513672,-44.41441345214844,167.98,54,225.88341561999997,0.0786331370472908
0.0003,1.1352983713150024,720,39093,130155,236,70.03260803222656,-44.8620719909668,164.61,54,221.79299039999998,0.07923095673322678
0.0003,-3.046330451965332,730,39675,130737,240,39.686519622802734,-43.39242172241211,164.38,54,222.76366643999998,0.07872636616230011
