train/ent_coef,train/critic_loss,time/fps,train/learning_rate,train/n_updates,train/ent_coef_loss,train/actor_loss,time/time_elapsed,time/total_timesteps,time/episodes,rollout/ep_rew_mean,rollout/ep_len_mean
0.017162594944238663,0.979383111000061,26,0.0003,53036,-0.5942806601524353,-15.167911529541016,1971,53137,164,61.76272118000001,297.05
0.017788231372833252,0.5129910707473755,26,0.0003,54349,0.3982553482055664,-14.056071281433105,2029,54450,168,62.12985635000001,297.84
0.015406504273414612,0.8632889986038208,26,0.0003,56197,1.20182466506958,-14.22968578338623,2112,56298,172,62.95575301000001,304.79
0.01729528233408928,2.264570474624634,26,0.0003,57452,-0.18424591422080994,-13.970518112182617,2168,57553,176,63.491154800000004,305.0
0.015353502705693245,1.818672776222229,26,0.0003,58616,1.0117387771606445,-14.110929489135742,2219,58717,180,63.54026430000001,302.76
0.015379976481199265,0.6855396032333374,26,0.0003,59866,0.8691090941429138,-13.906771659851074,2275,59967,184,63.67550784,302.49
0.01608978770673275,1.6701984405517578,26,0.0003,60918,-0.24550113081932068,-13.681695938110352,2322,61019,188,63.87259107,302.46
0.016141612082719803,0.3611326813697815,26,0.0003,61863,-0.014909381046891212,-13.891204833984375,2364,61964,192,64.22446916999999,302.82
0.016131872311234474,0.4349954426288605,26,0.0003,63027,1.0992251634597778,-13.764246940612793,2415,63128,196,64.61370059999999,305.36
0.016061587259173393,0.7039868831634521,26,0.0003,63971,-0.025265268981456757,-13.35146713256836,2458,64072,200,65.08780489,306.82
0.016431204974651337,0.9118665456771851,25,0.0003,64981,1.5373002290725708,-13.807451248168945,2503,65082,204,65.03758558000001,306.0
0.01688493974506855,1.4850497245788574,25,0.0003,65992,-0.008359849452972412,-13.593692779541016,2548,66093,208,64.87166538000001,302.61
0.01712878979742527,0.8662639856338501,25,0.0003,67206,-0.11619193106889725,-12.941554069519043,2602,67307,212,64.79475088999999,301.9
0.017354894429445267,1.9945228099822998,25,0.0003,68412,0.9035594463348389,-13.229073524475098,2656,68513,216,64.7775028,300.73
0.01620512083172798,0.32851642370224,25,0.0003,69595,-0.9946212768554688,-13.317720413208008,2710,69696,220,64.59528988,299.05
0.01590152457356453,1.387570858001709,25,0.0003,70632,-0.23382261395454407,-12.880481719970703,2757,70733,224,63.681127499999995,295.86
0.016489822417497635,0.9442602396011353,25,0.0003,71616,0.32074132561683655,-12.72089958190918,2801,71717,228,63.31570335000001,295.41
0.018696093931794167,2.150473117828369,25,0.0003,72832,-0.2307436615228653,-12.728636741638184,2856,72933,232,63.12434490999999,296.02
0.019384395331144333,1.1454318761825562,25,0.0003,73880,0.6059296727180481,-12.756253242492676,2903,73981,236,62.87329457,296.39
0.0187219250947237,0.8514076471328735,25,0.0003,75272,-0.6858956813812256,-12.709643363952637,2965,75373,240,62.91655784999999,296.05
0.018032265827059746,1.0580110549926758,25,0.0003,76761,0.2860150635242462,-12.561540603637695,3032,76862,244,63.15643954,297.45
0.01791064813733101,0.5251933336257935,25,0.0003,77828,-1.012341022491455,-12.971104621887207,3080,77929,248,63.06320342,295.31
0.017931686714291573,0.27290716767311096,25,0.0003,78751,1.1233186721801758,-12.423027992248535,3122,78852,252,62.76059143999999,293.12
0.01828031986951828,0.730187177658081,25,0.0003,79761,0.7993529438972473,-12.170324325561523,3168,79862,256,62.66031424999999,291.65
0.017981555312871933,0.7978668212890625,25,0.0003,80920,0.06213054805994034,-13.14582633972168,3220,81021,260,62.401507149999986,289.41
0.017386071383953094,1.484837532043457,25,0.0003,82341,-0.5775963068008423,-12.304590225219727,3284,82442,264,62.971059270000005,293.05
0.015678497031331062,0.6188864707946777,25,0.0003,83607,-1.5353167057037354,-12.275740623474121,3342,83708,268,63.012194959999995,292.58
0.015836071223020554,0.29953765869140625,25,0.0003,84660,-0.506888747215271,-12.747312545776367,3390,84761,272,61.96627814000001,284.63
0.017549222335219383,1.010392189025879,24,0.0003,85779,-0.50276118516922,-12.780227661132812,3441,85880,276,61.329554259999995,283.27
0.017806384712457657,0.31580913066864014,24,0.0003,87031,0.07158008962869644,-12.232946395874023,3498,87132,280,61.25995886999999,284.15
0.016539843752980232,0.3737185597419739,24,0.0003,88602,-0.6350586414337158,-12.25132942199707,3569,88703,284,61.54645502999999,287.36
0.015870587900280952,0.8477917909622192,24,0.0003,89619,-0.6379704475402832,-12.07876205444336,3615,89720,288,61.44022824,287.01
0.015845559537410736,0.5822892189025879,24,0.0003,90990,0.6511990427970886,-11.788224220275879,3677,91091,292,61.78733875999999,291.27
0.015147496946156025,1.1961365938186646,24,0.0003,92107,1.3998843431472778,-12.0885009765625,3728,92208,296,61.64036547999999,290.8
0.015814844518899918,0.5804815292358398,24,0.0003,93225,-0.0463753305375576,-12.486892700195312,3778,93326,300,62.10279451999999,292.54
0.016521422192454338,0.5878808498382568,24,0.0003,94344,-0.4828517735004425,-11.955936431884766,3829,94445,304,62.39195835,293.63
0.015902314335107803,0.37470653653144836,24,0.0003,95541,-0.47340595722198486,-11.906454086303711,3883,95642,308,62.98444713000001,295.49
0.01623263768851757,0.7622958421707153,24,0.0003,96607,-1.9917845726013184,-11.533592224121094,3931,96708,312,63.13565305,294.01
0.015414910390973091,0.3558380603790283,24,0.0003,97762,-0.6851676106452942,-11.67242431640625,3984,97863,316,63.36830296,293.5
0.01517936959862709,0.40895622968673706,24,0.0003,98978,1.3696467876434326,-11.05242919921875,4039,99079,320,63.41011806,293.83
0.015891147777438164,0.16425926983356476,24,0.0003,100123,-0.14125514030456543,-11.089020729064941,4091,100224,324,64.12107001,294.91
0.01539777871221304,0.4979265332221985,24,0.0003,101124,-0.5533549189567566,-11.536890983581543,4137,101225,328,64.56591843,295.08
0.0156693197786808,0.23729315400123596,24,0.0003,102450,-1.337245225906372,-11.503177642822266,4197,102551,332,64.84766746,296.18
0.015975389629602432,1.3147225379943848,24,0.0003,103499,-0.8559144735336304,-11.581134796142578,4244,103600,336,64.91872978,296.19
0.015648381784558296,0.23399657011032104,24,0.0003,104657,0.9168919324874878,-10.802871704101562,4297,104758,340,64.73008920000001,293.85
0.0157199464738369,0.8107192516326904,24,0.0003,105731,-1.2066619396209717,-10.741012573242188,4346,105832,344,64.00306479,289.7
0.015774566680192947,0.18368124961853027,24,0.0003,106614,1.9388492107391357,-10.665788650512695,4386,106715,348,63.35890428999999,287.86
