rollout/ep_len_mean,time/time_elapsed,time/fps,train/actor_loss,train/ent_coef,rollout/ep_rew_mean,train/ent_coef_loss,time/episodes,train/critic_loss,train/n_updates,train/learning_rate,time/total_timesteps
286.39,2445,19,-13.185583114624023,0.015868885442614555,49.69487459,0.1075059249997139,164,0.6183253526687622,48558,0.0003,48659
286.79,2498,19,-13.160568237304688,0.015246069990098476,49.89257429999998,0.5672178268432617,168,0.39154040813446045,49617,0.0003,49718
289.18,2572,19,-13.280281066894531,0.015074275434017181,51.044002580000004,-0.34181925654411316,172,0.7331047654151917,51078,0.0003,51179
285.33,2628,19,-13.056368827819824,0.015377447009086609,50.744351779999995,-0.24216985702514648,176,1.0657751560211182,52188,0.0003,52289
281.83,2695,19,-13.19372272491455,0.01531553827226162,50.715167199999996,-0.1115308627486229,180,1.2360601425170898,53505,0.0003,53606
280.67,2744,19,-12.686594009399414,0.014802851714193821,50.5335766,-0.8898239731788635,184,0.22852259874343872,54469,0.0003,54570
279.29,2796,19,-12.357346534729004,0.014659359119832516,50.422948850000004,-1.2779159545898438,188,0.7438336610794067,55495,0.0003,55596
280.41,2861,19,-12.957184791564941,0.014576182700693607,50.436581960000005,-1.6855926513671875,192,1.2286252975463867,56771,0.0003,56872
280.48,2913,19,-12.435636520385742,0.014838299714028835,50.88079765999999,-1.0981522798538208,196,1.2171261310577393,57776,0.0003,57877
273.08,2956,19,-11.933877944946289,0.01357424445450306,49.95608559,0.698773980140686,200,0.396750807762146,58637,0.0003,58738
275.27,3002,19,-12.153939247131348,0.013221902772784233,50.56004943,-0.3709730803966522,204,1.1183350086212158,59678,0.0003,59779
275.03,3047,19,-12.102871894836426,0.014968931674957275,51.30005971,0.048633188009262085,208,0.23990406095981598,60683,0.0003,60784
275.04,3104,19,-11.95736026763916,0.01699274405837059,52.0152556,-1.1481128931045532,212,0.4353873133659363,61804,0.0003,61905
271.07,3147,19,-11.42396354675293,0.013797755353152752,51.6232669,-0.6087182760238647,216,0.7841900587081909,62645,0.0003,62746
271.04,3197,19,-12.113380432128906,0.013197784312069416,51.317214240000006,-0.48445308208465576,220,0.5443828701972961,63618,0.0003,63719
270.49,3248,19,-12.107881546020508,0.013346187770366669,52.00372449,-1.8559342622756958,224,0.6590217351913452,64614,0.0003,64715
270.5,3299,19,-11.922504425048828,0.013865595683455467,52.18990712000001,0.3382616639137268,228,0.49716874957084656,65610,0.0003,65711
268.98,3358,19,-11.427002906799316,0.013817480765283108,52.18090748,-0.715717077255249,232,0.796052873134613,66774,0.0003,66875
267.5,3403,19,-11.080413818359375,0.014095442369580269,52.172214239999995,0.6955273151397705,236,0.5470658540725708,67638,0.0003,67739
265.63,3445,19,-11.768047332763672,0.013858450576663017,51.675133849999995,0.5741596221923828,240,0.34676048159599304,68464,0.0003,68565
268.61,3515,19,-11.725521087646484,0.013739428482949734,52.495123949999986,-1.477759838104248,244,1.5368478298187256,69827,0.0003,69928
274.07,3583,19,-12.100628852844238,0.013590611517429352,53.50053784000001,-0.17470452189445496,248,0.5710418224334717,71157,0.0003,71258
270.83,3625,19,-11.077441215515137,0.014328197576105595,52.63597712000001,0.700193464756012,252,0.4495067298412323,71978,0.0003,72079
266.56,3673,19,-11.056924819946289,0.013940548524260521,51.836909379999994,-1.5763601064682007,256,0.9784174561500549,72906,0.0003,73007
263.31,3720,19,-11.039844512939453,0.013666234910488129,51.29516211,-0.4371534585952759,260,0.5637389421463013,73834,0.0003,73935
262.8,3771,19,-11.760957717895508,0.013921304605901241,51.37952327000001,-0.969240128993988,264,0.4961702823638916,74838,0.0003,74939
261.47,3819,19,-11.097777366638184,0.01394802238792181,51.28594685000001,0.9122658371925354,268,0.21622109413146973,75764,0.0003,75865
256.12,3866,19,-10.968376159667969,0.014078522101044655,50.17654496,-0.5314731001853943,272,0.8263355493545532,76690,0.0003,76791
256.71,3925,19,-11.410362243652344,0.013802512548863888,50.51222263,-0.4063663184642792,276,0.2269778549671173,77859,0.0003,77960
255.72,3987,19,-11.254400253295898,0.013382256031036377,50.232352729999995,-0.5115551352500916,280,1.2411835193634033,79077,0.0003,79178
255.79,4037,19,-10.837186813354492,0.013733651489019394,50.33098774,0.18433642387390137,284,0.2186327576637268,80048,0.0003,80149
255.05,4085,19,-10.556467056274414,0.013266685418784618,49.980435439999994,0.4649795889854431,288,0.8429505228996277,81000,0.0003,81101
251.86,4134,19,-10.6748046875,0.013641487807035446,49.38638990999999,1.689574122428894,292,0.14123643934726715,81957,0.0003,82058
250.5,4178,19,-10.866440773010254,0.013851969502866268,49.03553080999999,1.3300693035125732,296,0.39825204014778137,82826,0.0003,82927
249.77,4218,19,-10.60646915435791,0.013044237159192562,48.79662936,-0.3853326439857483,300,0.3494015634059906,83614,0.0003,83715
249.63,4270,19,-10.922487258911133,0.01221739687025547,48.81606180000001,-0.5437478423118591,304,0.7269070148468018,84641,0.0003,84742
250.45,4325,19,-11.292702674865723,0.012189663015305996,48.544618279999995,0.6709436178207397,308,0.7459020614624023,85728,0.0003,85829
248.7,4374,19,-11.387283325195312,0.011928105726838112,47.93545937,-0.7329827547073364,312,0.5980393886566162,86674,0.0003,86775
248.9,4418,19,-10.893952369689941,0.012011740356683731,47.96328654,-0.1443580836057663,316,0.2608053982257843,87535,0.0003,87636
251.18,4479,19,-10.979267120361328,0.012252962216734886,48.928161659999994,-0.6582788228988647,320,0.4968607723712921,88736,0.0003,88837
250.17,4525,19,-10.73626708984375,0.012029813602566719,48.30554081000001,0.5014766454696655,324,0.8005352020263672,89631,0.0003,89732
249.89,4574,19,-11.013412475585938,0.012044375762343407,48.65754227,0.5434132218360901,328,0.21817541122436523,90599,0.0003,90700
248.47,4626,19,-10.72026252746582,0.01208009384572506,48.4526435,2.2315638065338135,332,0.5142078399658203,91621,0.0003,91722
250.22,4679,19,-10.191082000732422,0.014344166032969952,48.94434660999998,1.8119783401489258,336,0.25781357288360596,92660,0.0003,92761
251.06,4726,19,-10.697400093078613,0.014734921045601368,48.62877049000001,-0.7274730205535889,340,0.12584400177001953,93570,0.0003,93671
249.1,4786,19,-9.944328308105469,0.015085738152265549,47.83714659999999,0.1270666867494583,344,0.47596287727355957,94737,0.0003,94838
244.3,4829,19,-9.970081329345703,0.01605120487511158,46.935900069999995,0.8394166231155396,348,0.6947062611579895,95587,0.0003,95688
249.75,4899,19,-10.991338729858398,0.015114769339561462,48.032540039999994,-1.198229432106018,352,0.44418925046920776,96953,0.0003,97054
252.82,4962,19,-9.896926879882812,0.014005104079842567,48.41316775999999,0.3656095862388611,356,0.8328016400337219,98188,0.0003,98289
253.37,5012,19,-11.04675579071045,0.013530121184885502,48.487639579999986,-2.039102792739868,360,0.45420265197753906,99171,0.0003,99272
