time/episodes,train/actor_loss,rollout/ep_rew_mean,time/time_elapsed,train/ent_coef,time/fps,time/total_timesteps,train/ent_coef_loss,train/n_updates,rollout/ep_len_mean,train/learning_rate,train/critic_loss
68,-15.687079429626465,36.52959220588235,849,0.011638276278972626,25,21794,1.5024702548980713,21693,320.5,0.0003,1.144076943397522
72,-15.245016098022461,37.237095708333335,905,0.013105029240250587,25,23193,1.4658870697021484,23092,322.125,0.0003,0.4841078221797943
76,-14.897613525390625,37.66110756578948,953,0.01337355561554432,25,24396,0.5150484442710876,24295,321.0,0.0003,0.5564699172973633
80,-14.549025535583496,38.4163542875,1009,0.01207641325891018,25,25807,-0.9829561114311218,25706,322.5875,0.0003,0.5495204329490662
84,-13.991851806640625,39.17507851190475,1073,0.010895724408328533,25,27411,0.4315320551395416,27310,326.32142857142856,0.0003,0.3051505386829376
88,-13.491629600524902,39.18339392045455,1119,0.011934841983020306,25,28545,-0.22145003080368042,28444,324.375,0.0003,0.3259742259979248
92,-13.126657485961914,39.377414434782615,1164,0.0126084228977561,25,29686,-0.003613024950027466,29585,322.67391304347825,0.0003,0.5427961349487305
96,-13.2724609375,39.70228383333333,1212,0.01256616786122322,25,30896,-2.016298294067383,30795,321.8333333333333,0.0003,0.18105293810367584
100,-12.522676467895508,40.04188003,1263,0.012798021547496319,25,32164,0.7090561985969543,32063,321.64,0.0003,0.7820967435836792
104,-12.552891731262207,41.38480673,1309,0.01223804336041212,25,33325,-0.48223167657852173,33224,324.47,0.0003,0.7724379301071167
108,-11.405914306640625,42.53688412999999,1354,0.011459043249487877,25,34463,2.3426804542541504,34362,327.17,0.0003,1.1292545795440674
112,-12.524264335632324,43.5532345,1402,0.013864214532077312,25,35649,0.2389051616191864,35548,324.77,0.0003,0.2973320782184601
116,-12.200151443481445,44.02973579999999,1438,0.015959400683641434,25,36544,0.4391961693763733,36443,321.64,0.0003,0.20880088210105896
120,-12.095672607421875,43.87537918,1479,0.01640045829117298,25,37570,0.21802061796188354,37469,316.6,0.0003,0.525022029876709
124,-12.162528991699219,44.18515300999999,1521,0.015188354067504406,25,38597,-2.142672061920166,38496,315.85,0.0003,1.2881734371185303
128,-11.6342134475708,44.38346737999999,1562,0.014949551783502102,25,39627,-1.6405433416366577,39526,312.61,0.0003,0.31584203243255615
132,-11.443710327148438,43.78064458,1594,0.014726548455655575,25,40414,-0.4965973198413849,40313,304.55,0.0003,0.907387375831604
136,-11.673044204711914,42.744119469999994,1622,0.014225794933736324,25,41099,0.2523405849933624,40998,292.58,0.0003,0.7862967252731323
140,-11.394763946533203,43.09193032,1672,0.015040723606944084,25,42333,1.4696041345596313,42232,293.17,0.0003,1.3433668613433838
144,-10.812334060668945,42.75614326,1708,0.015137122012674809,25,43218,1.6499868631362915,43117,286.97,0.0003,0.6416102051734924
148,-10.9085111618042,41.68529058,1751,0.015243103727698326,25,44265,0.061472535133361816,44164,281.27,0.0003,1.0620486736297607
152,-11.088480949401855,41.423013229999995,1788,0.0156849417835474,25,45184,0.9091976881027222,45083,280.58,0.0003,0.3941671550273895
156,-10.509610176086426,40.99655591999999,1821,0.01672300323843956,25,45988,0.6643525958061218,45887,277.37,0.0003,0.28388869762420654
160,-10.564952850341797,40.88688159,1858,0.017432892695069313,25,46897,-0.9083927869796753,46796,276.2,0.0003,0.7057953476905823
164,-10.146867752075195,41.02701644,1894,0.017132971435785294,25,47782,0.07225091755390167,47681,273.42,0.0003,0.7791995406150818
168,-9.905827522277832,41.118511639999994,1942,0.01577775552868843,25,48939,-0.8327230215072632,48838,271.45,0.0003,0.8325272798538208
172,-10.086845397949219,40.571532299999994,1975,0.0159861259162426,25,49767,0.3818952441215515,49666,265.74,0.0003,0.44509899616241455
176,-10.085461616516113,40.47914865,2017,0.015857720747590065,25,50775,0.943054735660553,50674,263.79,0.0003,0.8275235891342163
180,-9.84008502960205,40.60070717,2071,0.016344623640179634,25,52104,-1.1284005641937256,52003,262.97,0.0003,0.8712397813796997
184,-9.89997386932373,39.74234277000001,2109,0.01610196940600872,25,53041,1.1046909093856812,52940,256.3,0.0003,0.7294362783432007
