time/fps,time/total_timesteps,time/time_elapsed,train/critic_loss,train/ent_coef,train/ent_coef_loss,rollout/ep_len_mean,time/episodes,train/learning_rate,train/actor_loss,rollout/ep_rew_mean,train/n_updates
13,23547,1697,0.12331162393093109,0.0034098271280527115,1.987365961074829,294.3375,80,0.0003,-8.147890090942383,4.43159625,23446
13,24796,1789,0.03789354860782623,0.0028582292143255472,-0.8570044040679932,295.1904761904762,84,0.0003,-7.656343460083008,4.488274071428571,24695
13,26244,1896,0.0782710537314415,0.0026393993757665157,1.722859263420105,298.22727272727275,88,0.0003,-6.695522785186768,4.5386635568181815,26143
13,27270,1971,0.02255854196846485,0.00285352417267859,0.9505972862243652,296.4130434782609,92,0.0003,-6.469165325164795,4.554384130434783,27169
13,28368,2052,0.16366907954216003,0.0033788790460675955,-1.7105780839920044,295.5,96,0.0003,-5.994302749633789,4.596255791666667,28267
13,29514,2135,0.028207339346408844,0.0030966722406446934,-0.09332042932510376,295.14,100,0.0003,-5.790513038635254,4.64893606,29413
13,30776,2225,0.02961399406194687,0.002533492399379611,-0.6414987444877625,299.84,104,0.0003,-4.959272861480713,4.772488790000001,30675
13,31798,2296,0.029169583693146706,0.0021753159817308187,-3.0688564777374268,300.04,108,0.0003,-4.690149307250977,4.9142158600000005,31697
13,32743,2360,0.054471828043460846,0.0029235598631203175,5.010232925415039,299.64,112,0.0003,-4.648834705352783,5.05550407,32642
13,33347,2401,0.021078193560242653,0.0033601655159145594,3.943469524383545,293.98,116,0.0003,-4.557065486907959,5.09659305,33246
13,34376,2470,0.010826842859387398,0.003575714537873864,-1.6677632331848145,292.49,120,0.0003,-4.166834354400635,5.26408971,34275
13,35683,2560,0.008920159190893173,0.003167153801769018,-0.17511974275112152,294.57,124,0.0003,-3.9600491523742676,5.458528570000001,35582
13,36993,2652,0.02000681310892105,0.002586129354313016,-2.220942258834839,297.88,128,0.0003,-3.551913022994995,5.681569660000001,36892
13,38405,2751,0.014800846576690674,0.0020277255680412054,-2.201636552810669,296.75,132,0.0003,-3.2734785079956055,5.80474139,38304
13,40079,2869,0.010032342746853828,0.0021501367446035147,1.5400478839874268,300.68,136,0.0003,-3.0408623218536377,5.96566743,39978
13,41420,2962,0.0056659625843167305,0.0021395289804786444,-2.036081075668335,298.7,140,0.0003,-3.0291295051574707,6.038357829999999,41319
13,42724,3053,0.016651440411806107,0.0023685430642217398,-1.880982756614685,299.44,144,0.0003,-2.7531845569610596,6.13340323,42623
13,43695,3123,0.0047115134075284,0.002169925719499588,1.2562988996505737,294.89,148,0.0003,-2.5196783542633057,6.132853579999999,43594
13,44784,3199,0.008418383076786995,0.0020511485636234283,-1.8496894836425781,294.17,152,0.0003,-2.450052499771118,6.2506473399999996,44683
13,45520,3254,0.011986767873167992,0.0019447712693363428,-0.939781665802002,290.58,156,0.0003,-2.4803740978240967,6.227276809999999,45419
13,46372,3312,0.009995436295866966,0.0018247660482302308,0.8367609977722168,288.15,160,0.0003,-2.2923312187194824,6.2069586800000005,46271
14,47146,3365,0.0107148177921772,0.0016964318929240108,1.5131736993789673,286.49,164,0.0003,-2.161097764968872,6.270783229999999,47045
14,47988,3421,0.01321934163570404,0.0016394257545471191,-1.3523664474487305,279.22,168,0.0003,-1.9858506917953491,6.282088479999999,47887
14,48996,3489,0.009754102677106857,0.001537208678200841,-0.4559604227542877,278.5,172,0.0003,-1.9677692651748657,6.35952673,48895
14,49816,3544,0.008341310545802116,0.001515723648481071,-0.6619197130203247,272.7,176,0.0003,-2.0171282291412354,6.29841636,49715
14,50757,3608,0.002132043009623885,0.0015247362898662686,-0.8473533391952515,272.1,180,0.0003,-1.7865509986877441,6.33912311,50656
