time/fps,time/total_timesteps,train/actor_loss,train/n_updates,train/ent_coef,time/episodes,rollout/ep_rew_mean,rollout/ep_len_mean,train/learning_rate,train/critic_loss,train/ent_coef_loss,time/time_elapsed
13,76320,-1.2033007144927979,76219,0.0007554740295745432,232,6.32936754,289.8,0.0003,0.005647189915180206,1.8586452007293701,5517
13,77185,-1.2497202157974243,77084,0.000814429426100105,236,6.2836796900000005,286.19,0.0003,0.010402478277683258,3.1343672275543213,5578
13,78162,-1.2946382761001587,78061,0.0008539315313100815,240,6.235691469999999,281.72,0.0003,0.007622465491294861,0.9299395084381104,5647
13,79286,-1.4013954401016235,79185,0.0012033467646688223,244,6.215255419999998,279.91,0.0003,0.0028765732422471046,30.516389846801758,5727
13,80263,-1.4321614503860474,80162,0.0013225533766672015,248,6.120817819999998,278.22,0.0003,0.01234381552785635,-4.616750717163086,5798
13,81336,-1.3661680221557617,81235,0.0012330757454037666,252,6.02800006,275.75,0.0003,0.004569134674966335,0.0931546688079834,5874
13,82266,-1.4459655284881592,82165,0.0011712810955941677,256,6.0278397,273.6,0.0003,0.0088138896971941,-2.7521095275878906,5939
13,83126,-1.448542833328247,83025,0.001151214586570859,260,6.013972300000001,273.55,0.0003,0.007473315112292767,-0.9770523905754089,5999
13,84335,-1.4139463901519775,84234,0.0010115758050233126,264,6.035006020000001,275.27,0.0003,0.006675628013908863,1.6293649673461914,6083
13,85018,-1.360563039779663,84917,0.0010420064209029078,268,5.992290079999999,273.32,0.0003,0.0024434076622128487,-0.08995625376701355,6131
13,86141,-1.4445143938064575,86040,0.0009566494263708591,272,5.9822231399999986,273.26,0.0003,0.007081771269440651,-1.4756877422332764,6210
13,87346,-1.3821115493774414,87245,0.0008875402272678912,276,5.98054106,274.09,0.0003,0.013660254888236523,-1.2017359733581543,6294
13,88782,-1.404725432395935,88681,0.0008784876554273069,280,6.038011619999999,275.05,0.0003,0.009768296964466572,2.3585705757141113,6396
13,89799,-1.4462429285049438,89698,0.0008694241987541318,284,6.023988149999999,274.04,0.0003,0.0022482946515083313,-2.04720139503479,6466
13,91111,-1.3967227935791016,91010,0.0008142845472320914,288,5.977046230000001,272.55,0.0003,0.011073127388954163,-1.1830732822418213,6556
13,92116,-1.4623055458068848,92015,0.0008781509241089225,292,5.975074879999999,268.77,0.0003,0.0030573857948184013,-0.07412594556808472,6629
13,93140,-1.356643557548523,93039,0.000865959853399545,296,5.99307053,268.51,0.0003,0.006889744196087122,2.0863230228424072,6700
13,94020,-1.4647421836853027,93919,0.0009364276775158942,300,5.9973897,267.3,0.0003,0.012476775795221329,-2.53098464012146,6761
13,94875,-1.3392198085784912,94774,0.0009544531931169331,304,5.9719979499999996,266.42,0.0003,0.009995764121413231,0.5289427638053894,6821
13,95964,-1.3891303539276123,95863,0.0008768074330873787,308,5.9937919,267.01,0.0003,0.00900173932313919,2.4928784370422363,6896
13,97166,-1.3287010192871094,97065,0.0008809391292743385,312,6.006556910000001,265.93,0.0003,0.006101799663156271,-0.8425412178039551,6979
13,98261,-1.3735830783843994,98160,0.0008465835126116872,316,5.99436093,265.63,0.0003,0.014508821070194244,-1.5884252786636353,7056
13,99313,-1.4036524295806885,99212,0.000827341980766505,320,6.03956409,265.09,0.0003,0.00853089988231659,1.7390931844711304,7133
13,100225,-1.275471806526184,100124,0.000833835278172046,324,6.04591324,264.57,0.0003,0.01787714660167694,0.5563226342201233,7198
13,101304,-1.3909927606582642,101203,0.0007886402891017497,328,6.027089910000001,262.52,0.0003,0.011665133759379387,-2.264981508255005,7273
13,102133,-1.3879926204681396,102032,0.0007576511707156897,332,5.90112562,258.13,0.0003,0.014596464112401009,-2.221092462539673,7331
13,103167,-1.3409740924835205,103066,0.0008255788125097752,336,5.9598758400000005,259.82,0.0003,0.005863727070391178,-1.4879143238067627,7404
13,104258,-1.3949393033981323,104157,0.0008073142380453646,340,5.956545849999999,260.96,0.0003,0.017026003450155258,-0.08674484491348267,7480
13,105512,-1.3210699558258057,105411,0.0007973625906743109,344,5.987171170000002,262.26,0.0003,0.005571384914219379,-1.1145553588867188,7567
13,106587,-1.2974169254302979,106486,0.0007851136615499854,348,6.092912299999999,263.24,0.0003,0.00901276059448719,-1.100593090057373,7642
13,107567,-1.3656903505325317,107466,0.0007602180703543127,352,6.083885190000001,262.31,0.0003,0.009777678176760674,-2.271821975708008,7710
13,108617,-1.3708415031433105,108516,0.0007612159242853522,356,6.0981567299999995,263.51,0.0003,0.00901840254664421,-2.5021748542785645,7783
13,109697,-1.2846571207046509,109596,0.0008143486338667572,360,6.168628289999999,265.71,0.0003,0.0071203154511749744,-0.2764064073562622,7859
13,110801,-1.3156723976135254,110700,0.000745061319321394,364,6.17457391,264.66,0.0003,0.0021415320225059986,-0.23451662063598633,7935
13,111639,-1.3562990427017212,111538,0.0007661731797270477,368,6.2278387099999994,266.21,0.0003,0.011555517092347145,2.412590503692627,7994
13,112529,-1.3415050506591797,112428,0.000786417571362108,372,6.22868028,263.88,0.0003,0.0013667420716956258,0.7117229104042053,8056
13,113339,-1.3066749572753906,113238,0.0007640101830475032,376,6.1649433600000005,259.93,0.0003,0.006290227174758911,-3.564255714416504,8112
13,114545,-1.2896347045898438,114444,0.0007388470112346113,380,6.058489560000002,257.63,0.0003,0.004411670379340649,0.524220883846283,8197
13,115625,-1.3226523399353027,115524,0.0007693601073697209,384,6.09919878,258.26,0.0003,0.007678084075450897,-2.6544175148010254,8272
13,116704,-1.3100643157958984,116603,0.0007771513774059713,388,6.071382430000001,255.93,0.0003,0.01379278302192688,0.8051638603210449,8347
