time/total_timesteps,train/actor_loss,rollout/ep_len_mean,train/ent_coef,time/time_elapsed,train/learning_rate,train/critic_loss,train/ent_coef_loss,time/fps,time/episodes,rollout/ep_rew_mean,train/n_updates
51289,-11.782665252685547,313.16,0.011292415671050549,2027,0.0003,0.7326024770736694,0.35926568508148193,25,152,54.27288369000001,51188
52787,-11.462068557739258,316.55,0.01163125317543745,2091,0.0003,1.189835548400879,1.3122347593307495,25,156,55.680975419999996,52686
54069,-11.587689399719238,318.53,0.011242561973631382,2145,0.0003,0.8091508150100708,-0.4469973146915436,25,160,55.96132189000001,53968
55700,-12.206599235534668,320.25,0.012128854170441628,2215,0.0003,0.5014328360557556,0.7949683666229248,25,164,56.37793233999999,55599
57006,-11.857170104980469,317.83,0.013172082602977753,2271,0.0003,0.39047327637672424,-0.5397509932518005,25,168,55.284785089999986,56905
58334,-12.23611068725586,318.58,0.01249705534428358,2328,0.0003,0.6768314838409424,-0.8859733939170837,25,172,55.27098743999999,58233
59627,-12.15782642364502,319.97,0.012031436897814274,2383,0.0003,0.8162420988082886,-0.36496394872665405,25,176,55.7121997,59526
61269,-12.119033813476562,323.4,0.011714319698512554,2453,0.0003,0.42118608951568604,-0.21182093024253845,24,180,56.610886269999995,61168
62507,-11.789628982543945,323.4,0.012557117268443108,2507,0.0003,0.42158401012420654,-1.2702604532241821,24,184,56.59858041,62406
64016,-11.610367774963379,325.82,0.011779597960412502,2571,0.0003,1.4096338748931885,-0.3864098787307739,24,188,57.53462360999999,63915
65206,-11.675739288330078,324.09,0.011800635606050491,2622,0.0003,1.5737824440002441,0.752083420753479,24,192,57.35079809999999,65105
66626,-11.791617393493652,325.77,0.011780929751694202,2683,0.0003,0.7740252017974854,0.8852110505104065,24,196,58.0943124,66525
67932,-11.95827579498291,327.62,0.011855739168822765,2739,0.0003,0.6171729564666748,0.6849541664123535,24,200,58.869994090000006,67831
69243,-11.651485443115234,328.24,0.012168988585472107,2795,0.0003,0.1661473512649536,-0.684820294380188,24,204,59.19161846,69142
70584,-12.394826889038086,329.45,0.01159603800624609,2853,0.0003,1.1754271984100342,-0.029109597206115723,24,208,59.36710658,70483
72283,-12.056549072265625,334.43,0.011321000754833221,2926,0.0003,0.29048216342926025,-0.21667209267616272,24,212,61.068125419999994,72182
73494,-12.515874862670898,333.33,0.011818689294159412,2978,0.0003,1.3630273342132568,-0.35071828961372375,24,216,61.01145485999999,73393
74830,-12.496843338012695,333.94,0.011777362786233425,3036,0.0003,0.5731395483016968,-1.0622106790542603,24,220,61.32948545,74729
75911,-12.69755744934082,331.74,0.012561704963445663,3083,0.0003,0.5055687427520752,-0.04250210523605347,24,224,60.73390635,75810
77065,-12.279723167419434,330.03,0.012584091164171696,3133,0.0003,1.4193542003631592,1.1753203868865967,24,228,60.594068359999994,76964
77971,-12.473882675170898,323.8,0.012157701887190342,3172,0.0003,0.2783835530281067,-0.11756633222103119,24,232,59.42230071,77870
79289,-12.919448852539062,328.41,0.012602916918694973,3230,0.0003,0.2195894867181778,0.7670667171478271,24,236,60.42432321000001,79188
80540,-12.416266441345215,328.88,0.012078135274350643,3284,0.0003,1.826281189918518,0.46849173307418823,24,240,60.8049856,80439
81769,-12.45499038696289,328.45,0.012062186375260353,3338,0.0003,1.1466269493103027,-0.5157215595245361,24,244,60.71817607,81668
82848,-12.914840698242188,330.35,0.012796147726476192,3385,0.0003,1.327277660369873,-0.4320890009403229,24,248,61.62463332,82747
83922,-12.234301567077637,326.33,0.012968487106263638,3432,0.0003,1.5127533674240112,0.8349165916442871,24,252,61.76951536000001,83821
84982,-13.175935745239258,321.95,0.012939640320837498,3478,0.0003,0.8505368232727051,1.102107048034668,24,256,61.05692218,84881
86154,-12.280070304870605,320.85,0.012989950366318226,3529,0.0003,0.9383966326713562,0.7428779602050781,24,260,61.29447401,86053
87176,-13.171828269958496,314.76,0.013189950957894325,3573,0.0003,0.8604897260665894,-1.0179083347320557,24,264,60.54563171000001,87075
88532,-12.606490135192871,315.26,0.013193360529839993,3632,0.0003,2.241044759750366,-1.210340976715088,24,268,61.79223695,88431
