time/total_timesteps,time/time_elapsed,train/n_updates,train/ent_coef,train/ent_coef_loss,time/fps,time/episodes,rollout/ep_len_mean,train/actor_loss,rollout/ep_rew_mean,train/critic_loss,train/learning_rate
30212,604,30111,0.06968872249126434,0.03579210489988327,50,212,142.85,-44.16825866699219,174.42631405999998,8.83540153503418,0.0003
30684,614,30583,0.06938109546899796,-0.08175743371248245,49,216,141.74,-49.209678649902344,174.67688364999995,7.840249061584473,0.0003
31204,624,31103,0.07043370604515076,-0.2349095642566681,49,220,141.08,-45.110389709472656,176.37199243999996,9.365204811096191,0.0003
31726,635,31625,0.07028588652610779,0.13559255003929138,49,224,141.1,-46.60066604614258,178.77910164000002,15.811623573303223,0.0003
32268,647,32167,0.07147476822137833,0.10320460796356201,49,228,140.67,-42.936317443847656,177.9159578,12.873003959655762,0.0003
32957,661,32856,0.06895282864570618,0.3200730085372925,49,232,141.64,-45.66584396362305,177.86337689,5.243159294128418,0.0003
33565,674,33464,0.0685737282037735,-0.46909868717193604,49,236,140.01,-44.045265197753906,175.75620442000002,9.085972785949707,0.0003
34142,687,34041,0.06907663494348526,-1.0823750495910645,49,240,140.15,-40.54706954956055,179.11126893000005,9.875385284423828,0.0003
34685,698,34584,0.06707435846328735,0.2592538595199585,49,244,140.6,-46.750518798828125,180.78685515000004,10.896997451782227,0.0003
35250,711,35149,0.06696298718452454,0.2254292070865631,49,248,139.47,-43.328102111816406,181.10989720999999,7.728890895843506,0.0003
35796,722,35695,0.06522524356842041,0.6487031579017639,49,252,139.49,-41.587242126464844,181.42793427999996,12.238334655761719,0.0003
36371,734,36270,0.06636856496334076,-0.20070162415504456,49,256,138.51,-43.31341552734375,179.39301149999994,7.372461318969727,0.0003
36940,746,36839,0.0655502900481224,0.7149755954742432,49,260,138.9,-44.724082946777344,180.56337169999995,7.289516448974609,0.0003
37516,759,37415,0.06674037873744965,0.4656835198402405,49,264,139.02,-42.52267074584961,180.71502959999998,12.781442642211914,0.0003
38104,771,38003,0.06713133305311203,-0.7753556966781616,49,268,139.84,-41.26952362060547,182.89005814,7.429062366485596,0.0003
38705,784,38604,0.06488730013370514,0.46680566668510437,49,272,140.51,-43.81850814819336,183.20645848,23.711585998535156,0.0003
39203,795,39102,0.06622827798128128,0.19298481941223145,49,276,140.03,-40.35993957519531,186.89069497,8.649087905883789,0.0003
39849,809,39748,0.06580697000026703,-0.391315221786499,49,280,140.23,-42.638343811035156,188.08376048999997,10.357339859008789,0.0003
40392,820,40291,0.06473258137702942,-0.6006742715835571,49,284,140.48,-39.113407135009766,189.78151695,8.37643814086914,0.0003
40956,830,40855,0.06345635652542114,0.467449426651001,49,288,140.55,-47.05732727050781,190.23863027000004,9.539823532104492,0.0003
