train/actor_loss,train/ent_coef_loss,rollout/ep_len_mean,train/learning_rate,time/time_elapsed,train/critic_loss,rollout/ep_rew_mean,time/fps,time/total_timesteps,time/episodes,train/ent_coef,train/n_updates
-1.6175569295883179,2.271145820617676,306.26,0.0003,7987,0.0035206652246415615,8.17686581,10,80283,272,0.001409313059411943,80182
-1.62212073802948,-2.9916131496429443,304.94,0.0003,8095,0.002735683461651206,8.119711589999998,10,81330,276,0.0014352581929415464,81229
-1.5335687398910522,-0.37972593307495117,302.79,0.0003,8217,0.006265164818614721,8.05295702,10,82582,280,0.0013670541811734438,82481
-1.5457603931427002,-2.7993004322052,301.63,0.0003,8328,0.007198717445135117,8.01365952,10,83812,284,0.0014094730140641332,83711
-1.4538958072662354,1.5110862255096436,297.23,0.0003,8437,0.004262967966496944,7.923490529999999,10,84964,288,0.0013742782175540924,84863
-1.3960905075073242,2.08392596244812,300.7,0.0003,8551,0.009010430425405502,8.00219545,10,86151,292,0.0013666540617123246,86050
-1.4618099927902222,1.4629950523376465,299.14,0.0003,8672,0.027941422536969185,7.974651729999998,10,87395,296,0.0013304536696523428,87294
-1.5197527408599854,-0.2216273546218872,293.78,0.0003,8748,0.0034642424434423447,7.841204269999999,10,88211,300,0.0013657406670972705,88110
-1.5102771520614624,1.0177721977233887,293.57,0.0003,8842,0.005730168893933296,7.8533802900000005,10,89210,304,0.0014018840156495571,89109
-1.413339376449585,0.45019984245300293,295.77,0.0003,8957,0.012758444994688034,7.950285389999998,10,90347,308,0.0013363100588321686,90246
-1.4721813201904297,0.0019406378269195557,298.51,0.0003,9065,0.019777487963438034,8.0874989,10,91381,312,0.001386728836223483,91280
-1.6121509075164795,-0.9198719263076782,297.81,0.0003,9215,0.00570161547511816,8.16300897,10,92790,316,0.0015200729249045253,92689
-1.5594953298568726,-3.2241368293762207,296.37,0.0003,9306,0.0014663843903690577,8.154793609999999,10,93721,320,0.0015582507476210594,93620
-1.5511151552200317,0.7086698412895203,298.6,0.0003,9426,0.0046479664742946625,8.19813613,10,94952,324,0.0014912891201674938,94851
