train/learning_rate,train/actor_loss,time/fps,rollout/ep_len_mean,time/total_timesteps,train/ent_coef,train/n_updates,rollout/ep_rew_mean,train/critic_loss,train/ent_coef_loss,time/time_elapsed,time/episodes
0.0003,-1.8771263360977173,8,375.74,57148,0.0022448645904660225,57047,8.89542364,0.00425014179199934,-0.37891775369644165,6534,160
0.0003,-1.867742896080017,8,370.86,58220,0.0022190390154719353,58119,8.913741170000002,0.010150326415896416,-1.3465275764465332,6635,164
0.0003,-1.7208430767059326,8,363.59,59344,0.002232284750789404,59243,8.87704509,0.005327478516846895,-0.04857748746871948,6739,168
0.0003,-1.7030620574951172,8,356.18,60664,0.0020818605553358793,60563,8.78327739,0.009729434736073017,0.01696130633354187,6863,172
0.0003,-1.63182532787323,8,351.69,61893,0.0019743789453059435,61792,8.708922580000001,0.01327185146510601,0.859785795211792,6979,176
0.0003,-1.5752843618392944,8,342.42,62886,0.002021891064941883,62785,8.690769490000001,0.0030550493393093348,-0.02341170608997345,7072,180
0.0003,-1.552682638168335,8,337.95,64078,0.00228368048556149,63977,8.79839565,0.0043657086789608,-1.1914656162261963,7182,184
0.0003,-1.676454782485962,8,329.31,65227,0.0022409982047975063,65126,8.68050224,0.013127039186656475,-1.1325099468231201,7289,188
0.0003,-1.4942008256912231,8,320.3,66364,0.0022914011497050524,66263,8.641735619999999,0.008378810249269009,-0.9029063582420349,7393,192
0.0003,-1.4620274305343628,9,314.46,67299,0.002328736474737525,67198,8.66668982,0.002919346559792757,-1.9895440340042114,7476,196
0.0003,-1.491137981414795,9,303.26,68324,0.0023868728894740343,68223,8.6164323,0.0099712572991848,0.9736717939376831,7566,200
0.0003,-1.4112945795059204,9,295.87,69201,0.002377418801188469,69100,8.51138769,0.005477313883602619,0.9296556711196899,7648,204
0.0003,-1.4649484157562256,9,289.91,70214,0.002395785180851817,70113,8.44787957,0.0033744117245078087,1.310376524925232,7742,208
0.0003,-1.506284236907959,9,288.95,71231,0.002370060421526432,71130,8.505534199999998,0.011197758838534355,-0.6788314580917358,7838,212
0.0003,-1.4182041883468628,9,287.57,72174,0.0023069106973707676,72073,8.47890354,0.013706088066101074,0.7008539438247681,7937,216
0.0003,-1.3943138122558594,9,286.3,73386,0.0023219839204102755,73285,8.494131509999999,0.002344987355172634,0.4256179630756378,8060,220
0.0003,-1.3578349351882935,9,286.32,74451,0.0022619706578552723,74350,8.519004129999999,0.003499651327729225,-0.07530193030834198,8173,224
0.0003,-1.3262423276901245,9,286.14,75532,0.002330000512301922,75431,8.53218768,0.007407516241073608,-2.0184807777404785,8279,228
0.0003,-1.345607876777649,9,282.5,76640,0.002354638185352087,76539,8.432190680000001,0.002966389525681734,0.5102381110191345,8380,232
0.0003,-1.3812782764434814,9,280.6,77691,0.0022517687175422907,77590,8.401898090000001,0.010813908651471138,0.6216172575950623,8482,236
0.0003,-1.3920172452926636,9,276.86,78526,0.002219796646386385,78425,8.323143629999999,0.007089973893016577,1.1063176393508911,8564,240
0.0003,-1.327685832977295,9,277.72,79879,0.0021194249857217073,79778,8.37986309,0.002438505180180073,-0.08719632029533386,8700,244
0.0003,-1.4340299367904663,9,275.35,80938,0.0021281351801007986,80837,8.311991169999999,0.00545502919703722,-1.3050358295440674,8802,248
0.0003,-1.342299222946167,9,274.8,82041,0.002099837176501751,81940,8.313519460000002,0.0066305967047810555,-1.3295845985412598,8909,252
0.0003,-1.3854235410690308,9,274.14,83268,0.0021946290507912636,83167,8.200175080000001,0.00696951150894165,-3.236663818359375,9049,256
0.0003,-1.2977246046066284,9,271.49,84297,0.0021764696575701237,84196,8.10074935,0.005831620190292597,-0.1266568899154663,9179,260
0.0003,-1.2605366706848145,9,272.81,85501,0.0020024303812533617,85400,8.13008195,0.005392355844378471,0.1946781575679779,9313,264
0.0003,-1.359668493270874,9,273.65,86709,0.00203983043320477,86608,8.178443860000002,0.005059111397713423,0.7177910208702087,9433,268
0.0003,-1.3754487037658691,9,271.82,87846,0.002060373779386282,87745,8.15346934,0.007243621163070202,-2.369065046310425,9571,272
0.0003,-1.2891613245010376,9,271.22,89015,0.0020023700781166553,88914,8.215201459999998,0.013546586036682129,1.0213428735733032,9721,276
0.0003,-1.2026238441467285,9,270.17,89903,0.002035175682976842,89802,8.192372290000002,0.0015542368637397885,2.1867964267730713,9834,280
0.0003,-1.3272243738174438,9,270.91,91169,0.0020135389640927315,91068,8.155575720000002,0.002822305541485548,-4.027266025543213,9995,284
0.0003,-1.3456637859344482,9,272.27,92454,0.00203970680013299,92353,8.20764395,0.002163988770917058,-1.2112772464752197,10156,288
0.0003,-1.4262179136276245,9,270.45,93409,0.0019012821139767766,93308,8.139623190000002,0.006892301142215729,1.0670394897460938,10276,292
0.0003,-1.3411343097686768,9,269.26,94225,0.0018158353632315993,94124,8.062183540000001,0.0028998905327171087,-2.779252529144287,10377,296
0.0003,-1.4264806509017944,9,267.76,95100,0.0016412459081038833,94999,7.9809119,0.006683320738375187,-2.0985469818115234,10487,300
0.0003,-1.2916117906570435,9,269.44,96145,0.0017656265990808606,96044,8.041576520000001,0.003873993642628193,-0.3134344816207886,10618,304
0.0003,-1.3503785133361816,9,269.87,97201,0.0019462712807580829,97100,7.973902550000002,0.010642733424901962,-0.5562344789505005,10753,308
