train/learning_rate,time/total_timesteps,time/episodes,rollout/ep_len_mean,rollout/ep_rew_mean,train/n_updates,time/fps,train/ent_coef,train/actor_loss,train/ent_coef_loss,train/critic_loss,time/time_elapsed
0.0003,56143,164,333.08,35.46981896999999,56042,19,0.007832239381968975,-7.526296138763428,1.2361260652542114,0.133438378572464,2906
0.0003,57214,168,327.14,34.977138090000004,57113,19,0.007976273074746132,-7.764139175415039,1.1437270641326904,0.25362062454223633,2964
0.0003,58584,172,324.91,35.156253930000005,58483,19,0.008495703339576721,-7.835243225097656,0.6105102300643921,0.3059138357639313,3040
0.0003,59628,176,321.21,35.07011482,59527,19,0.008673533797264099,-8.013948440551758,0.8746074438095093,0.46296119689941406,3098
0.0003,60996,180,318.63,35.18321365,60895,19,0.008731525391340256,-7.577879905700684,-0.10004419088363647,0.17444102466106415,3161
0.0003,62417,184,318.59,35.36374927,62316,19,0.008277780376374722,-7.504552364349365,-1.1333472728729248,0.3624444603919983,3228
0.0003,63526,188,316.79,35.63622439000001,63425,19,0.008372952230274677,-7.816626071929932,-0.6213034391403198,0.25010719895362854,3285
0.0003,64707,192,312.36,35.58864096,64606,19,0.00830160453915596,-7.253600597381592,2.0420522689819336,0.2851005792617798,3342
0.0003,65921,196,310.32,35.72006197,65820,19,0.008443464525043964,-7.202308654785156,1.007262110710144,0.08533207327127457,3400
0.0003,67106,200,307.52,35.82015743000001,67005,19,0.008256406523287296,-7.491608619689941,-1.6553502082824707,0.518754243850708,3454
0.0003,68250,204,306.18,35.70194651,68149,19,0.007916552014648914,-7.208864212036133,-1.2643684148788452,0.3338463306427002,3507
0.0003,69530,208,307.07,36.203228110000005,69429,19,0.007620716001838446,-7.311002731323242,0.47608691453933716,0.23156988620758057,3567
0.0003,70812,212,308.42,36.46760271000001,70711,19,0.007904971949756145,-7.399583339691162,-0.49355554580688477,0.24929755926132202,3636
0.0003,71903,216,302.98,35.732050990000005,71802,19,0.007879077456891537,-7.4605183601379395,0.37711101770401,0.492381751537323,3696
0.0003,73311,220,306.14,36.404409709999996,73210,19,0.0077472832053899765,-7.4817795753479,0.20764464139938354,0.14358849823474884,3774
0.0003,74463,224,303.37,36.12706972,74362,19,0.007894488982856274,-7.018470287322998,0.5645033121109009,0.2095651477575302,3839
