train/actor_loss,train/learning_rate,rollout/ep_len_mean,time/time_elapsed,train/ent_coef_loss,rollout/ep_rew_mean,time/fps,train/ent_coef,time/total_timesteps,train/critic_loss,time/episodes,train/n_updates
-7.763917446136475,0.0003,260.87,2493,0.4002529978752136,32.34143207,18,0.012778337113559246,47136,0.2960742115974426,164,47035
-8.057209014892578,0.0003,264.35,2555,1.479789137840271,33.09616878,18,0.013901503756642342,48374,0.2354271113872528,168,48273
-7.879010200500488,0.0003,265.29,2609,-1.7678203582763672,33.41824661,18,0.014878606423735619,49351,0.21974512934684753,172,49250
-7.813149452209473,0.0003,264.15,2666,0.4531731605529785,33.57263303,18,0.012096705846488476,50430,0.15322786569595337,176,50329
-7.519879341125488,0.0003,265.77,2719,1.4874653816223145,33.878116289999994,18,0.01081143319606781,51448,0.20590487122535706,180,51347
-7.241917610168457,0.0003,266.62,2776,1.238303303718567,33.9437006,18,0.010478530079126358,52496,0.15754961967468262,184,52395
-7.533778190612793,0.0003,269.35,2854,0.2424541711807251,34.309107729999994,18,0.01057110819965601,53891,0.526727557182312,188,53790
-7.252836227416992,0.0003,271.63,2911,0.17352139949798584,34.36781864,18,0.010529332794249058,55105,0.4688645303249359,192,55004
-7.370893955230713,0.0003,274.38,2968,-0.6550939679145813,34.56157874,18,0.010208460502326488,56350,0.44329550862312317,196,56249
-7.4279913902282715,0.0003,275.86,3022,1.6405487060546875,34.83087895999999,18,0.010472536087036133,57412,0.10850583761930466,200,57311
-6.950160980224609,0.0003,277.18,3075,0.6196489930152893,34.921029270000005,19,0.010834072716534138,58477,0.5425187349319458,204,58376
-7.09409761428833,0.0003,278.1,3124,-0.030876174569129944,35.36266432,19,0.011555010452866554,59516,0.3824072480201721,208,59415
-7.366667747497559,0.0003,280.54,3185,-2.1371800899505615,35.692400830000004,19,0.011709444224834442,60829,0.15345636010169983,212,60728
-7.194576263427734,0.0003,283.01,3238,-0.610697865486145,35.88635362,19,0.01246982254087925,61998,0.23114818334579468,216,61897
-6.832164764404297,0.0003,287.66,3299,-0.9271677732467651,36.43725096,19,0.012074190191924572,63334,0.0720030665397644,220,63233
-7.1276068687438965,0.0003,291.83,3370,-0.8780949115753174,36.78690638999999,19,0.011622737161815166,64789,0.3396398723125458,224,64688
-7.32432746887207,0.0003,291.55,3441,-0.33354225754737854,36.69584152,19,0.011897437274456024,66065,0.08626744151115417,228,65964
-7.223154067993164,0.0003,299.21,3537,-0.43633222579956055,37.722003720000004,19,0.011331559158861637,67833,0.08377999812364578,232,67732
-7.10723876953125,0.0003,297.67,3592,0.6948198080062866,37.62191146,19,0.011564882472157478,68826,0.5728212594985962,236,68725
-7.239531517028809,0.0003,294.96,3648,1.5977377891540527,37.29803764,19,0.010337629355490208,69834,0.5751145482063293,240,69733
-6.8947858810424805,0.0003,295.11,3725,0.8534913063049316,37.320768560000005,19,0.01083613932132721,71233,0.5527328252792358,244,71132
-7.02554178237915,0.0003,294.4,3791,-0.8444218039512634,37.05990099,19,0.00983631145209074,72436,0.37086641788482666,248,72335
-7.50493860244751,0.0003,297.17,3858,1.5968977212905884,37.44272177,19,0.009864521212875843,73668,0.23139458894729614,252,73567
-6.960026741027832,0.0003,298.54,3915,-0.8654798269271851,37.61409595,19,0.009291315451264381,74703,0.2718237638473511,256,74602
-6.877016067504883,0.0003,296.38,3965,-0.12097054719924927,37.33758263,19,0.009424235671758652,75627,0.21436814963817596,260,75526
-6.76237154006958,0.0003,297.26,4033,0.4438285827636719,37.77349055,19,0.009815999306738377,76862,0.2349744290113449,264,76761
-7.269560813903809,0.0003,293.18,4078,0.3229672610759735,37.05932412,19,0.009789757430553436,77692,0.057999566197395325,268,77591
-7.378617763519287,0.0003,295.84,4146,-1.0353786945343018,37.551256859999995,19,0.009220139123499393,78935,0.08023960888385773,272,78834
-7.067114353179932,0.0003,293.93,4195,0.6847710609436035,37.47187089,19,0.009526095353066921,79823,0.36443373560905457,276,79722
-7.013106346130371,0.0003,294.57,4255,1.0988689661026,37.686949379999994,19,0.009258119389414787,80905,0.23735788464546204,280,80804
-6.730302810668945,0.0003,299.19,4338,0.0604388490319252,38.23089149,18,0.009255404584109783,82415,0.05103851109743118,284,82314
-7.192366600036621,0.0003,298.36,4409,-0.5924908518791199,38.142986220000004,18,0.008531725034117699,83727,0.09548439085483551,288,83626
-7.30927038192749,0.0003,299.42,4482,-1.1281321048736572,38.6207512,18,0.009054054506123066,85047,0.49043935537338257,292,84946
-7.018404960632324,0.0003,300.31,4556,0.8955913782119751,38.760599,18,0.00919252261519432,86381,0.4139217734336853,296,86280
-7.203439235687256,0.0003,299.51,4610,1.007584810256958,38.69600659,18,0.009213023819029331,87363,0.08540599048137665,300,87262
-6.9151506423950195,0.0003,302.84,4687,-0.4757607877254486,39.39785089,18,0.00943942740559578,88761,0.3695526123046875,304,88660
-7.135194778442383,0.0003,302.44,4741,1.6561163663864136,39.09631077,18,0.009435746818780899,89760,0.08805660158395767,308,89659
-7.637784004211426,0.0003,298.89,4794,0.8547297716140747,38.54476968,18,0.00972792413085699,90718,0.30564194917678833,312,90617
-7.182238578796387,0.0003,298.75,4857,-0.36688464879989624,38.53021082,18,0.009004579856991768,91873,0.2237260490655899,316,91772
-7.376123905181885,0.0003,296.36,4918,0.5387792587280273,38.096861640000014,18,0.00946410745382309,92970,0.4239956736564636,320,92869
-7.4069108963012695,0.0003,293.11,4980,-0.1112961694598198,38.09657887,18,0.009524264372885227,94100,0.14281229674816132,324,93999
-7.221405029296875,0.0003,294.13,5056,-0.7692252397537231,38.028623010000004,18,0.009346348233520985,95478,0.2357746958732605,328,95377
-7.1118855476379395,0.0003,289.23,5126,0.09158195555210114,37.05117706,18,0.009495234116911888,96756,0.44608041644096375,332,96655
-7.249239921569824,0.0003,291.89,5196,1.2674715518951416,37.453259239999994,18,0.009501080960035324,98015,0.12993460893630981,336,97914
-7.578738689422607,0.0003,296.79,5278,-1.8599796295166016,38.20441341,18,0.009546134620904922,99513,0.09807378053665161,340,99412
-7.036280632019043,0.0003,293.53,5337,0.49022406339645386,37.69068129,18,0.009180204942822456,100586,0.14089630544185638,344,100485
-7.117558002471924,0.0003,295.71,5415,-1.3741017580032349,38.27032792000001,18,0.009114846587181091,102007,0.40918856859207153,348,101906
-7.35162353515625,0.0003,294.47,5476,-1.1972819566726685,38.560887,18,0.009001780301332474,103115,0.30691978335380554,352,103014
-7.11625337600708,0.0003,295.53,5539,-0.5010289549827576,39.0686675,18,0.008664121851325035,104256,0.5728982090950012,356,104155
-7.289914608001709,0.0003,296.3,5595,-0.27543899416923523,39.22362976,18,0.008712751790881157,105257,0.621680736541748,360,105156
-6.870934963226318,0.0003,295.34,5657,-0.38250958919525146,38.70194056,18,0.00888901948928833,106396,0.2430345118045807,364,106295
-7.6135945320129395,0.0003,298.73,5722,0.6891685128211975,39.51046997,18,0.009117519482970238,107565,0.13748057186603546,368,107464
-7.225861549377441,0.0003,299.07,5792,-0.34268125891685486,39.31570093,18,0.008272216655313969,108842,0.29341185092926025,372,108741
-7.011956691741943,0.0003,303.43,5865,0.0664617195725441,39.60668884,18,0.007109140511602163,110166,0.20236867666244507,376,110065
-7.488574028015137,0.0003,302.19,5918,0.13194647431373596,39.309565039999995,18,0.006413352210074663,111124,0.23376694321632385,380,111023
-7.313530445098877,0.0003,300.32,5990,-0.9781575202941895,38.95778834,18,0.006797091104090214,112447,0.4492985010147095,384,112346
-7.538416862487793,0.0003,297.72,6048,0.5967046618461609,38.39630874,18,0.007518436294049025,113499,0.16793519258499146,388,113398
-7.516732215881348,0.0003,298.21,6123,1.4297295808792114,38.59807761,18,0.007936852984130383,114868,0.3568687438964844,392,114767
-7.642976760864258,0.0003,296.29,6185,1.97931706905365,38.44613278,18,0.00766869867220521,116010,0.2837201952934265,396,115909
-7.76777982711792,0.0003,298.12,6249,-0.21614909172058105,38.63607591,18,0.0078002456575632095,117175,0.2986811101436615,400,117074
-7.3404974937438965,0.0003,296.19,6315,-0.29499372839927673,38.07206147,18,0.007506486028432846,118380,0.18895739316940308,404,118279
-7.3729705810546875,0.0003,297.05,6374,-1.0310721397399902,38.497064089999995,18,0.007983711548149586,119465,0.18596695363521576,408,119364
-7.627603530883789,0.0003,298.45,6434,-1.7597861289978027,38.56542809,18,0.00811497587710619,120563,0.27171552181243896,412,120462
-7.541615962982178,0.0003,296.92,6490,-0.25863146781921387,38.58606757,18,0.008443686179816723,121565,0.14047464728355408,416,121464
-7.400991916656494,0.0003,298.21,6557,1.7781364917755127,38.819831750000006,18,0.008206981234252453,122791,0.45010602474212646,420,122690
-7.480572700500488,0.0003,296.61,6610,-0.7277225852012634,38.392847319999994,18,0.00853017158806324,123761,0.2051374763250351,424,123660
-7.2662787437438965,0.0003,296.25,6684,0.08468405157327652,38.897000410000004,18,0.008949211798608303,125103,0.25032544136047363,428,125002
-7.054387092590332,0.0003,296.85,6757,2.3588764667510986,39.30072527,18,0.00841275230050087,126441,0.25947701930999756,432,126340
-7.20774507522583,0.0003,298.94,6838,-0.5026654005050659,39.51125361,18,0.008424731902778149,127909,0.17933154106140137,436,127808
-7.578106880187988,0.0003,293.93,6893,0.4049122929573059,38.579530899999995,18,0.008327363058924675,128906,0.3498040735721588,440,128805
-7.117668151855469,0.0003,294.14,6953,1.0065895318984985,38.47247813,18,0.008218655362725258,130000,0.2594664692878723,444,129899
-7.302982330322266,0.0003,293.91,7031,-1.0003365278244019,38.56298311,18,0.00861976109445095,131398,0.35565152764320374,448,131297
-7.3203125,0.0003,294.92,7097,1.9130752086639404,38.260490610000005,18,0.00886522140353918,132607,0.2683195471763611,452,132506
-7.41124963760376,0.0003,292.91,7149,-0.44368407130241394,37.7950965,18,0.008958715945482254,133547,0.3958182632923126,456,133446
-6.934134006500244,0.0003,295.15,7216,-0.5669174194335938,38.33461788,18,0.008730909787118435,134772,0.10536022484302521,460,134671
-7.100520133972168,0.0003,297.17,7289,-0.16041775047779083,38.64477462,18,0.008698073215782642,136113,0.5815796852111816,464,136012
-7.365011692047119,0.0003,297.73,7357,0.1429598033428192,38.50941123,18,0.009184548631310463,137338,0.5180591344833374,468,137237
-6.914399147033691,0.0003,296.66,7421,0.8020303249359131,38.70639079000001,18,0.009143093600869179,138508,0.21068760752677917,472,138407
-6.740946292877197,0.0003,299.08,7506,-0.7958677411079407,39.076634829999996,18,0.008809017017483711,140074,0.22535602748394012,476,139973
-6.994640827178955,0.0003,306.4,7599,1.0424261093139648,40.357987939999994,18,0.00910443440079689,141764,0.11414394527673721,480,141663
-6.8010406494140625,0.0003,304.62,7662,0.05464711785316467,40.070412819999994,18,0.009495479054749012,142909,0.169438436627388,484,142808
-7.435562610626221,0.0003,311.12,7755,-2.2302627563476562,41.120456110000006,18,0.00947083905339241,144611,0.33916789293289185,488,144510
-7.1788740158081055,0.0003,310.78,7828,0.0340181440114975,40.69111682,18,0.009567000903189182,145946,0.3700864315032959,492,145845
-7.239609718322754,0.0003,310.54,7890,-1.2370665073394775,40.78039282,18,0.009279139339923859,147064,0.04027349874377251,496,146963
-7.392322063446045,0.0003,308.72,7944,-0.5482151508331299,40.344095,18,0.008843963034451008,148047,0.07575216889381409,500,147946
-7.333577632904053,0.0003,308.73,8009,-0.8202866315841675,40.58321188,18,0.008481533266603947,149253,0.19287215173244476,504,149152
-6.908885955810547,0.0003,311.2,8082,-0.48192161321640015,40.827397250000004,18,0.009265813045203686,150585,0.5238677263259888,508,150484
-7.150394916534424,0.0003,315.35,8165,-0.8240618705749512,41.39321965,18,0.008574409410357475,152098,0.19663359224796295,512,151997
-6.6875104904174805,0.0003,315.22,8220,2.1218655109405518,41.300694459999995,18,0.009298104792833328,153087,0.29075637459754944,516,152986
-7.294686317443848,0.0003,313.48,8277,0.7464491128921509,40.97490099000001,18,0.008963018655776978,154139,0.6640294790267944,520,154038
-7.108853816986084,0.0003,318.59,8358,-0.13641273975372314,41.87593016999999,18,0.009044315665960312,155620,0.12622110545635223,524,155519
-7.155218124389648,0.0003,318.4,8429,-0.77309250831604,41.71571016999999,18,0.009330358356237411,156943,0.5727746486663818,528,156842
-7.076235771179199,0.0003,319.57,8508,-1.904935359954834,41.99901133,18,0.008802294731140137,158398,0.448174387216568,532,158297
-6.3266096115112305,0.0003,318.99,8582,-0.11604822427034378,42.0088943,18,0.008944228291511536,159808,0.2957974076271057,536,159707
-7.197386741638184,0.0003,323.81,8663,-0.38529741764068604,42.9101325,18,0.008960223756730556,161287,0.41301244497299194,540,161186
-7.409384250640869,0.0003,330.32,8756,-0.49852442741394043,44.084106090000006,18,0.008810059167444706,163032,0.43671804666519165,544,162931
-7.403033256530762,0.0003,327.89,8819,0.33052337169647217,43.51957399999999,18,0.008326726965606213,164187,0.14950411021709442,548,164086
-6.854455947875977,0.0003,325.42,8871,-0.43406611680984497,43.39013547,18,0.008726726286113262,165149,0.5660350322723389,552,165048
-7.094456672668457,0.0003,326.21,8927,1.4240632057189941,43.45954439,18,0.009159299544990063,166168,0.14128336310386658,556,166067
