time/total_timesteps,train/n_updates,train/ent_coef,train/ent_coef_loss,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,train/actor_loss,time/episodes,train/critic_loss,train/learning_rate,time/time_elapsed
19608,19507,0.00749399047344923,0.9941096901893616,350.14285714285717,18,23.65377075,-13.922847747802734,56,0.14475730061531067,0.0003,1077
22399,22298,0.008091556839644909,0.2182362675666809,373.31666666666666,18,26.044292166666665,-12.814455032348633,60,0.09843944013118744,0.0003,1225
24074,23973,0.007721706293523312,-0.22299961745738983,376.15625,18,26.382537015624997,-12.364862442016602,64,0.4154892563819885,0.0003,1302
26003,25902,0.007860835641622543,-0.10017439723014832,382.3970588235294,18,27.085593426470584,-11.489300727844238,68,0.14961658418178558,0.0003,1399
27092,26991,0.007249538786709309,-2.538637399673462,376.27777777777777,18,26.618962930555554,-11.321172714233398,72,0.06654409319162369,0.0003,1455
28720,28619,0.007155969738960266,0.49087920784950256,377.89473684210526,18,27.341288381578945,-10.454299926757812,76,0.25637418031692505,0.0003,1543
30047,29946,0.0067108431831002235,-0.5973212718963623,375.5875,18,27.449377849999998,-10.25444221496582,80,0.5022591352462769,0.0003,1616
31148,31047,0.008185344748198986,-0.404188334941864,370.8095238095238,18,27.11470169047619,-9.95867919921875,84,0.10331600904464722,0.0003,1675
32162,32061,0.007783626671880484,-0.757899284362793,365.47727272727275,18,26.95447330681818,-9.88754653930664,88,0.04564280807971954,0.0003,1732
33302,33201,0.007515844888985157,0.3144166171550751,361.9782608695652,18,26.776499717391303,-9.235533714294434,92,0.11878270655870438,0.0003,1795
34639,34538,0.008209333755075932,-0.5233285427093506,360.8229166666667,18,27.19539311458333,-9.260619163513184,96,0.09905053675174713,0.0003,1869
35590,35489,0.008133715018630028,0.921772837638855,355.9,18,27.12408438,-9.096771240234375,100,0.2729591131210327,0.0003,1921
36918,36817,0.007963496260344982,0.04958787560462952,362.82,18,28.41368901,-8.68833065032959,104,0.07947954535484314,0.0003,1996
38361,38260,0.007294854149222374,-1.0846151113510132,366.18,18,29.19529551,-8.678390502929688,108,0.1422734558582306,0.0003,2070
39178,39077,0.007078406400978565,0.49133485555648804,360.72,18,29.51364942,-8.269813537597656,112,0.1841633915901184,0.0003,2118
40283,40182,0.007571722846478224,0.6596095561981201,358.39,18,29.77111378,-8.281229972839355,116,0.6657739877700806,0.0003,2180
41734,41633,0.0076513271778821945,0.14119568467140198,357.68,18,30.48611477,-8.09628963470459,120,0.27178406715393066,0.0003,2260
43050,42949,0.007929851301014423,-0.3227941393852234,358.07,18,31.41764851,-8.111557006835938,124,0.11723214387893677,0.0003,2323
44582,44481,0.007526288274675608,2.0355887413024902,358.43,18,32.03093074,-7.888664245605469,128,0.32824504375457764,0.0003,2399
46418,46317,0.0069185481406748295,-0.9151234030723572,362.24,18,32.7883798,-8.012468338012695,132,0.6953687071800232,0.0003,2502
47886,47785,0.007457075174897909,0.28253281116485596,359.82,18,32.795904289999996,-7.841132164001465,136,0.24950960278511047,0.0003,2576
48866,48765,0.008005490526556969,1.7474268674850464,351.88,18,32.40034566,-7.456450939178467,140,0.4561213254928589,0.0003,2631
50244,50143,0.007870170287787914,-0.6439403295516968,353.28,18,32.752289680000004,-7.7273383140563965,144,0.3610954284667969,0.0003,2706
51439,51338,0.00799906812608242,1.2861500978469849,350.81,18,32.76649288,-7.436488628387451,148,0.36843591928482056,0.0003,2770
52649,52548,0.008180784061551094,-0.8770361542701721,349.11,18,33.246870169999994,-7.393381118774414,152,0.16849800944328308,0.0003,2838
53699,53598,0.008467587642371655,0.728596568107605,340.91,18,32.66304324000001,-7.303737640380859,156,0.40717485547065735,0.0003,2899
54948,54847,0.008566571399569511,-0.48589542508125305,325.49,18,31.68572689,-7.199720859527588,160,0.5460966229438782,0.0003,2958
55956,55855,0.00883303489536047,-0.9905531406402588,318.82,18,31.545850329999997,-7.052316188812256,164,0.058143436908721924,0.0003,3005
57307,57206,0.008447757922112942,0.49086740612983704,313.04,18,31.65453423,-6.877196788787842,168,0.2851957678794861,0.0003,3075
58635,58534,0.00832347571849823,-0.37054863572120667,315.43,18,32.4091703,-7.1224493980407715,172,0.08404006063938141,0.0003,3141
59871,59770,0.009047110565006733,0.29361188411712646,311.51,18,32.1480076,-6.9539313316345215,176,0.26796773076057434,0.0003,3200
61324,61223,0.00878932699561119,0.01738698035478592,312.77,18,32.87359747000001,-6.919261455535889,180,0.0976206511259079,0.0003,3267
62717,62616,0.008972549811005592,0.5659525990486145,315.69,18,33.62863242,-6.907777786254883,184,0.19341540336608887,0.0003,3332
64024,63923,0.008520658127963543,-0.625662088394165,318.62,18,34.14147233,-6.888516902923584,188,0.048329174518585205,0.0003,3395
64960,64859,0.008755173534154892,2.0007259845733643,316.58,18,34.28617036,-6.657840251922607,192,0.6059971451759338,0.0003,3447
66148,66047,0.008965091779828072,0.301516056060791,315.09,18,34.10878816,-6.530559539794922,196,0.44334882497787476,0.0003,3513
67350,67249,0.008309664204716682,-0.25062453746795654,317.6,18,34.579088,-7.028841018676758,200,0.30145397782325745,0.0003,3580
68364,68263,0.008039087988436222,0.2513633072376251,314.46,18,34.21256602,-6.762831211090088,204,0.1450468897819519,0.0003,3637
70268,70167,0.008239137940108776,-0.45582297444343567,319.07,18,34.97717343,-6.3217291831970215,208,0.26692038774490356,0.0003,3744
71331,71230,0.00808744877576828,-1.8876357078552246,321.53,18,35.209979000000004,-6.825180530548096,212,0.11702916026115417,0.0003,3803
72563,72462,0.008332240395247936,-1.414764642715454,322.8,18,35.45800659,-6.750286102294922,216,0.14914576709270477,0.0003,3871
73854,73753,0.008498341776430607,-0.894483208656311,321.2,18,35.79156766,-6.685153961181641,220,0.10676071792840958,0.0003,3944
74817,74716,0.008353160694241524,-1.2675957679748535,317.67,18,35.267316130000005,-6.6872100830078125,224,0.09395816922187805,0.0003,3997
76005,75904,0.008101100102066994,0.7538190484046936,314.23,18,35.102925760000005,-6.53228235244751,228,0.11055497825145721,0.0003,4063
77328,77227,0.00823124498128891,0.6680851578712463,309.1,18,34.907197739999994,-6.277085304260254,232,0.2517780065536499,0.0003,4137
78455,78354,0.008747794665396214,-0.48442426323890686,305.69,18,34.71156429999999,-6.4082512855529785,236,0.12360098212957382,0.0003,4200
79695,79594,0.008469541557133198,0.33050984144210815,308.29,18,35.33809788,-6.58242130279541,240,0.31118154525756836,0.0003,4269
80874,80773,0.008482665754854679,-0.679505467414856,306.3,18,35.42428580999999,-6.454937934875488,244,0.1482120156288147,0.0003,4334
82101,82000,0.008845767937600613,0.5034503936767578,306.62,18,35.42342403999999,-6.3072943687438965,248,0.0826164186000824,0.0003,4402
83445,83344,0.008361872285604477,0.10465462505817413,307.96,18,35.161697739999994,-6.652069568634033,252,0.19616815447807312,0.0003,4477
