train/ent_coef_loss,time/time_elapsed,train/critic_loss,rollout/ep_len_mean,train/learning_rate,rollout/ep_rew_mean,time/fps,time/total_timesteps,train/ent_coef,time/episodes,train/actor_loss,train/n_updates
-1.0633351802825928,3123,0.16937236487865448,323.76,0.0003,33.98940257000001,19,59419,0.007058954797685146,164,-7.3420796394348145,59318
-0.11625230312347412,3174,0.3858558237552643,323.56,0.0003,34.08520305,19,60524,0.007242586929351091,168,-7.5051069259643555,60423
-2.1737802028656006,3270,0.3712935745716095,326.99,0.0003,33.91377379,19,62374,0.006743780802935362,172,-7.578352928161621,62273
0.25175389647483826,3335,0.17144282162189484,327.24,0.0003,34.07504525,19,63707,0.006390439346432686,176,-7.30399751663208,63606
-1.8469786643981934,3401,0.19696447253227234,325.49,0.0003,33.62947541,19,65115,0.0062398482114076614,180,-7.684787750244141,65014
2.248631477355957,3451,0.07655660063028336,322.53,0.0003,33.43512409,19,66195,0.00615201098844409,184,-7.508265495300293,66094
-0.8127738237380981,3508,0.17509396374225616,324.39,0.0003,33.60723484,19,67410,0.0061605507507920265,188,-7.486773490905762,67309
-0.36336809396743774,3562,0.21018241345882416,326.74,0.0003,33.98721303,19,68510,0.006078022066503763,192,-7.531642436981201,68409
1.8724827766418457,3633,0.2644721269607544,328.99,0.0003,34.189195860000005,19,69800,0.006380114238709211,196,-7.206267356872559,69699
-1.011211633682251,3703,0.08603483438491821,331.56,0.0003,34.445280219999994,19,71052,0.006596799939870834,200,-7.550581455230713,70951
-0.9736518263816833,3760,0.3562188148498535,330.18,0.0003,34.45697201,19,72087,0.006286740303039551,204,-7.502350330352783,71986
1.312380075454712,3841,0.312136173248291,330.53,0.0003,35.05250167,19,73509,0.006473236251622438,208,-7.3877692222595215,73408
0.2546784281730652,3912,0.2574043273925781,331.86,0.0003,35.45713925,19,74783,0.006424190476536751,212,-7.269648551940918,74682
0.6657403707504272,3977,0.6936684846878052,330.86,0.0003,35.89720679,19,75939,0.0063474359922111034,216,-6.918715000152588,75838
-0.6964535713195801,4034,0.0471314936876297,330.01,0.0003,36.15250965999999,19,76969,0.006640108302235603,220,-7.177575588226318,76868
1.3888832330703735,4120,0.18832188844680786,335.17,0.0003,36.823522819999994,19,78512,0.006478797644376755,224,-6.924884796142578,78411
0.9718514680862427,4194,0.06741666048765182,333.67,0.0003,37.18948818,19,79853,0.007038082927465439,228,-7.2140960693359375,79752
1.3908023834228516,4257,0.06018458306789398,331.89,0.0003,37.167015850000006,19,80986,0.006882252171635628,232,-6.935006141662598,80885
0.06284123659133911,4308,0.18671105802059174,323.45,0.0003,36.286316279999994,19,81892,0.0067243315279483795,236,-7.241118431091309,81791
-0.5345625281333923,4380,0.16241267323493958,322.4,0.0003,36.50522893,18,83191,0.006275556515902281,240,-7.0444183349609375,83090
-0.3866690993309021,4442,0.44130927324295044,320.78,0.0003,36.37473051,18,84301,0.006710103712975979,244,-7.515441417694092,84200
-1.5965895652770996,4509,0.13767942786216736,320.88,0.0003,36.31459895,18,85502,0.006355846766382456,248,-7.26186990737915,85401
-0.3864714503288269,4573,0.09779414534568787,315.59,0.0003,35.685299670000006,18,86651,0.00653326790779829,252,-7.260781288146973,86550
1.5006678104400635,4651,0.37554773688316345,313.76,0.0003,35.69109108,18,88069,0.0071589150466024876,256,-7.019632816314697,87968
-0.8751816153526306,4721,0.07620978355407715,310.64,0.0003,35.6668031,18,89314,0.007192189805209637,260,-6.956034183502197,89213
-0.8492886424064636,4788,0.05705202370882034,311.11,0.0003,35.86448161,18,90530,0.00726561713963747,264,-6.871562480926514,90429
1.5852298736572266,4852,0.18327969312667847,311.51,0.0003,35.96561263,18,91675,0.007493854500353336,268,-7.290683269500732,91574
-0.3264138996601105,4931,0.2592465877532959,307.23,0.0003,35.93512097,18,93097,0.007184614427387714,272,-7.126576900482178,92996
-2.490551233291626,4998,0.16790510714054108,305.89,0.0003,36.14285727000001,18,94296,0.007388121448457241,276,-7.457492828369141,94195
1.5786163806915283,5059,0.04318143427371979,302.86,0.0003,36.1950762,18,95401,0.007385156117379665,280,-7.052942752838135,95300
1.6129010915756226,5133,0.10189159959554672,305.45,0.0003,36.648998299999995,18,96740,0.007240915670990944,284,-6.879018783569336,96639
0.3855300545692444,5206,0.2341984063386917,306.51,0.0003,37.13750894,18,98061,0.00698495376855135,288,-6.968090057373047,97960
-0.014176219701766968,5263,0.1326061189174652,305.62,0.0003,37.11350258,18,99072,0.007337925489991903,292,-7.216224670410156,98971
