train/actor_loss,rollout/ep_len_mean,train/critic_loss,time/fps,train/learning_rate,train/ent_coef_loss,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,train/n_updates,train/ent_coef,time/episodes
-15.142613410949707,318.5,0.937071681022644,22,0.0003,-0.5864824056625366,31.058587765624996,901,20384,20283,0.015325927175581455,64
-15.656940460205078,314.54411764705884,0.2159539759159088,22,0.0003,1.1550076007843018,30.782217470588233,953,21389,21288,0.012329899705946445,68
-14.105697631835938,313.56944444444446,0.18300846219062805,22,0.0003,1.3954415321350098,31.07885413888889,1013,22577,22476,0.011429009027779102,72
-13.892812728881836,310.2763157894737,0.7422087788581848,22,0.0003,0.2642059028148651,31.205899671052634,1065,23581,23480,0.011568126268684864,76
-13.434489250183105,313.625,1.2365076541900635,21,0.0003,-0.0954304039478302,31.8658905125,1142,25090,24989,0.012466398067772388,80
-12.626042366027832,315.0,0.29926860332489014,21,0.0003,0.6585465669631958,32.49625957142857,1213,26460,26359,0.011476564221084118,84
-13.025301933288574,312.77272727272725,0.17488479614257812,21,0.0003,0.1777976155281067,33.09273942045454,1267,27524,27423,0.011600472964346409,88
-12.400290489196777,315.8369565217391,0.18378186225891113,21,0.0003,1.631523847579956,33.71120469565217,1345,29057,28956,0.013500244356691837,92
-11.67880630493164,315.6041666666667,0.8133211731910706,21,0.0003,0.441750705242157,34.20829621875,1409,30298,30197,0.01252685021609068,96
-11.92687702178955,314.14,0.21468374133110046,21,0.0003,-0.21361574530601501,34.45645602,1466,31414,31313,0.01230195164680481,100
-11.823957443237305,315.28,0.6247205138206482,21,0.0003,1.4915486574172974,35.42944034,1530,32664,32563,0.012258285656571388,104
-11.363593101501465,311.92,0.3356672525405884,21,0.0003,-0.9076273441314697,36.23166988,1591,33848,33747,0.011818300932645798,108
-11.262452125549316,313.46,0.8330150842666626,21,0.0003,0.2861793637275696,37.25783937,1666,35316,35215,0.010931058786809444,112
-10.988849639892578,315.33,0.7925549149513245,21,0.0003,-1.0873315334320068,38.64837032,1743,36815,36714,0.012266109697520733,116
-10.821487426757812,314.14,0.14885643124580383,21,0.0003,2.6369447708129883,38.82266038000001,1807,38060,37959,0.01206277310848236,120
-10.955371856689453,304.71,0.32398802042007446,21,0.0003,0.6905835866928101,37.98477743,1852,38953,38852,0.011893999762833118,124
-10.58995246887207,302.87,0.1252118945121765,20,0.0003,-0.4660818874835968,38.43830954,1920,40244,40143,0.011408639140427113,128
-10.50364875793457,298.41,0.6749634742736816,20,0.0003,0.5744004249572754,38.43867769,1970,41218,41117,0.010818667709827423,132
-10.22462272644043,296.65,0.49543464183807373,20,0.0003,1.1877336502075195,38.859213,2028,42352,42251,0.009999885223805904,136
-10.405866622924805,289.81,0.43943625688552856,20,0.0003,1.4707696437835693,38.319614169999994,2074,43233,43132,0.010460094548761845,140
-10.243249893188477,289.6,0.7798449993133545,20,0.0003,-1.0116170644760132,38.23671513,2124,44220,44119,0.010605471208691597,144
-10.328778266906738,287.42,0.1561318039894104,20,0.0003,-1.3370516300201416,37.816776870000005,2173,45169,45068,0.010511704720556736,148
-9.666548728942871,289.44,0.7426032423973083,20,0.0003,-1.1694061756134033,37.99277464,2237,46423,46322,0.010578177869319916,152
-9.996955871582031,291.56,0.21941998600959778,20,0.0003,-1.3916513919830322,39.09211028,2314,47932,47831,0.010539218783378601,156
-9.859903335571289,296.63,0.8297983407974243,20,0.0003,1.7908743619918823,40.283759450000005,2384,49300,49199,0.010644172318279743,160
-9.745190620422363,300.72,0.32752853631973267,20,0.0003,-0.37678247690200806,41.01827705000001,2444,50456,50355,0.010778581723570824,164
-9.761308670043945,304.36,0.22701908648014069,20,0.0003,-0.003940120339393616,42.04780444,2514,51825,51724,0.010447547771036625,168
-10.053426742553711,306.07,0.5081673264503479,20,0.0003,-1.4261863231658936,42.59421113000001,2584,53184,53083,0.010035093873739243,172
-9.256645202636719,305.58,0.6429828405380249,20,0.0003,1.7155157327651978,42.49889847,2634,54139,54038,0.010655532591044903,176
-9.174006462097168,301.46,0.3194519281387329,20,0.0003,-1.3125120401382446,42.38100323,2690,55236,55135,0.011804473586380482,180
-9.246755599975586,298.18,0.49196958541870117,20,0.0003,-1.1956349611282349,42.263313829999994,2744,56278,56177,0.011692014522850513,184
-9.372071266174316,301.59,0.40890276432037354,20,0.0003,0.16988547146320343,42.74967795,2816,57683,57582,0.012188099324703217,188
-9.122963905334473,299.01,0.11737839132547379,20,0.0003,-0.9724765419960022,42.73659845,2882,58958,58857,0.011729232035577297,192
-8.819987297058105,300.74,0.6366125345230103,20,0.0003,0.4435309171676636,43.09503996999999,2955,60372,60271,0.013103904202580452,196
-9.18971061706543,300.09,0.2461097538471222,20,0.0003,-0.10666296631097794,42.77767423,3009,61423,61322,0.012652170844376087,200
-9.174223899841309,299.63,0.18012532591819763,20,0.0003,-0.6881819367408752,42.75787976000001,3072,62627,62526,0.01141782570630312,204
-9.025860786437988,299.88,0.20861086249351501,20,0.0003,-0.4271625280380249,42.750585699999995,3134,63836,63735,0.011533355340361595,208
-8.345300674438477,294.71,0.7535131573677063,20,0.0003,0.7468574047088623,42.575567549999995,3184,64787,64686,0.011466756463050842,212
-9.007416725158691,292.03,0.8843977451324463,20,0.0003,-0.5426709055900574,42.41095843,3248,66018,65917,0.01235720980912447,216
-8.21291446685791,290.4,0.34387892484664917,20,0.0003,-1.3193540573120117,42.67146120999999,3299,67100,66999,0.0119625898078084,220
-8.670869827270508,293.29,0.2870979309082031,20,0.0003,0.7069896459579468,43.24627423000001,3353,68282,68181,0.012508782558143139,224
-8.399352073669434,291.91,0.21617716550827026,20,0.0003,1.124419093132019,43.200138960000004,3412,69435,69334,0.012031064368784428,228
-8.582808494567871,294.8,0.2960936725139618,20,0.0003,-0.033488139510154724,43.88345427,3477,70698,70597,0.011753004044294357,232
-8.717306137084961,296.11,0.6015913486480713,20,0.0003,1.374781608581543,44.201179249999996,3544,71963,71862,0.011110554449260235,236
-8.344562530517578,301.48,0.1599244773387909,20,0.0003,-1.1964143514633179,45.27602392000001,3617,73381,73280,0.011565125547349453,240
-8.639533996582031,303.99,0.08461891114711761,20,0.0003,-1.1096826791763306,45.75812937,3682,74619,74518,0.01185291912406683,244
-8.447769165039062,305.39,0.18079504370689392,20,0.0003,0.703798234462738,46.07055618,3739,75708,75607,0.011884872801601887,248
-8.30827522277832,303.78,0.7530235052108765,20,0.0003,-0.4015026092529297,45.73033407,3795,76801,76700,0.011488664895296097,252
-8.35797119140625,303.14,0.5964950323104858,20,0.0003,0.9335991144180298,45.32433423000001,3870,78246,78145,0.011798401363193989,256
-7.981234550476074,299.43,0.3201727867126465,20,0.0003,1.3085529804229736,44.55048872,3923,79243,79142,0.011574167758226395,260
-8.288387298583984,297.76,0.22090771794319153,20,0.0003,-0.11819329857826233,44.245937649999995,3974,80232,80131,0.011060068383812904,264
-7.884898662567139,301.02,0.39262819290161133,20,0.0003,-0.3424503803253174,44.87412204999999,4062,81927,81826,0.011038419790565968,268
-7.99770975112915,298.69,0.24947766959667206,20,0.0003,0.4996504783630371,44.47767521,4120,83053,82952,0.011055301874876022,272
-7.688290596008301,304.15,0.22290879487991333,20,0.0003,-0.03607473149895668,45.359524779999994,4197,84554,84453,0.011634819209575653,276
-7.690016269683838,308.56,0.376109778881073,20,0.0003,-0.6162751913070679,46.22656454999999,4277,86092,85991,0.01094743236899376,280
-7.789259910583496,311.65,0.09149214625358582,20,0.0003,-2.1366426944732666,46.535605249999996,4346,87443,87342,0.011232814751565456,284
-7.809240818023682,307.67,0.3872925639152527,20,0.0003,0.9753180742263794,45.58461244,4399,88450,88349,0.01134655810892582,288
-7.955987453460693,305.62,0.18206578493118286,20,0.0003,-1.060921549797058,45.56530841,4455,89520,89419,0.011799555271863937,292
-7.926877498626709,303.39,0.0676809698343277,20,0.0003,1.1208328008651733,45.410997939999994,4516,90711,90610,0.011232690885663033,296
-7.773583889007568,304.01,0.49646490812301636,20,0.0003,0.7454652190208435,45.70796819,4573,91824,91723,0.010933258570730686,300
-7.548764228820801,303.75,0.3019590973854065,20,0.0003,1.3233134746551514,45.808925259999995,4634,93002,92901,0.010883246548473835,304
-8.267828941345215,301.54,0.5292345881462097,20,0.0003,-0.13655827939510345,45.81238456999999,4686,93990,93889,0.010298141278326511,308
-8.004044532775879,303.58,0.7261152267456055,20,0.0003,1.307653784751892,45.94220019,4745,95145,95044,0.011220731772482395,312
-7.819016456604004,304.25,0.37785881757736206,20,0.0003,-0.24887347221374512,45.55118407,4812,96443,96342,0.010494185611605644,316
-8.51006031036377,308.73,0.6054098606109619,20,0.0003,-2.6750283241271973,45.99437191999999,4891,97973,97872,0.010040704160928726,320
-7.961992263793945,308.5,0.39896416664123535,20,0.0003,2.8563830852508545,46.1391778,4951,99132,99031,0.009998702444136143,324
-7.767510414123535,309.31,0.499786913394928,20,0.0003,0.5014941096305847,46.31731527,5015,100366,100265,0.010223702527582645,328
-8.188257217407227,308.1,0.20023879408836365,20,0.0003,0.432719349861145,46.029817800000004,5074,101508,101407,0.010246548801660538,332
-8.218069076538086,306.96,0.24116870760917664,19,0.0003,-2.191197156906128,45.94899832000001,5133,102659,102558,0.010116467252373695,336
-8.148099899291992,304.36,0.42993295192718506,19,0.0003,1.739240050315857,45.40548236000001,5193,103817,103716,0.010057225823402405,340
-7.673741340637207,300.73,0.3248445391654968,19,0.0003,-0.24383817613124847,44.754709049999995,5238,104692,104591,0.009727678261697292,344
-8.082574844360352,303.81,0.2468535304069519,19,0.0003,-0.677740752696991,45.44061291999999,5310,106089,105988,0.009611591696739197,348
-8.421874046325684,307.12,0.9020425081253052,19,0.0003,0.017494261264801025,45.80924416999999,5384,107513,107412,0.009756581857800484,352
-7.875570297241211,308.67,0.5352277755737305,19,0.0003,0.7484515905380249,45.9343966,5466,109113,109012,0.009586413390934467,356
-7.789207458496094,311.4,0.46526873111724854,19,0.0003,0.5915722846984863,46.64984535999999,5532,110383,110282,0.010019191540777683,360
-8.180388450622559,315.16,0.09750382602214813,19,0.0003,-0.9172632694244385,47.192021530000005,5602,111748,111647,0.010390076786279678,364
-8.421758651733398,320.35,0.7338581085205078,19,0.0003,0.06887906789779663,48.14408259,5717,113962,113861,0.010019497014582157,368
-7.736838340759277,319.48,0.09543699026107788,19,0.0003,-1.392676591873169,48.02880709,5771,115001,114900,0.009608471766114235,372
-8.02521800994873,316.22,0.42830890417099,19,0.0003,2.005838632583618,47.54947652,5831,116176,116075,0.009866836480796337,376
-8.43554401397705,311.68,0.28956496715545654,19,0.0003,-1.0702831745147705,46.75346572,5888,117260,117159,0.010286912322044373,380
-8.492236137390137,311.43,0.261304646730423,19,0.0003,-0.8742120265960693,46.69595776,5956,118586,118485,0.00979266595095396,384
-8.368474960327148,316.22,0.35886552929878235,19,0.0003,1.4498190879821777,47.59900692000001,6033,120072,119971,0.009725553914904594,388
-8.71269416809082,317.01,0.0830693244934082,19,0.0003,-2.3626322746276855,47.50143762,6092,121221,121120,0.010008281096816063,392
-8.139498710632324,316.31,0.9389621019363403,19,0.0003,-0.028094403445720673,47.34945941,6150,122342,122241,0.009597783908247948,396
-7.869277000427246,318.35,0.6968066692352295,19,0.0003,0.7376576066017151,47.80632645000001,6218,123659,123558,0.009323455393314362,400
-8.37247085571289,320.38,0.34890052676200867,19,0.0003,0.4873974323272705,47.977951829999995,6289,125040,124939,0.00899827852845192,404
-8.505919456481934,322.83,0.32587915658950806,19,0.0003,1.4625790119171143,48.06492145,6352,126273,126172,0.008906950242817402,408
-8.432828903198242,326.29,0.3204067349433899,19,0.0003,-0.5989904403686523,48.72764774,6430,127774,127673,0.009233219549059868,412
-8.498414993286133,324.45,0.3082665801048279,19,0.0003,-0.10743337869644165,48.66684981999999,6488,128888,128787,0.00893189013004303,416
-8.548284530639648,318.32,0.21000011265277863,19,0.0003,-0.4962955117225647,47.819374509999996,6535,129805,129704,0.008659549057483673,420
-8.503358840942383,318.21,0.8776587247848511,19,0.0003,0.646131157875061,47.93552065,6595,130953,130852,0.009680553339421749,424
-8.367890357971191,316.09,0.06957526504993439,19,0.0003,0.7173761129379272,47.624114490000004,6648,131975,131874,0.009465123526751995,428
-8.715295791625977,318.92,0.5367239713668823,19,0.0003,-1.8490982055664062,47.72801493,6722,133400,133299,0.008882676251232624,432
-8.159573554992676,321.03,0.2753838896751404,19,0.0003,1.596468210220337,47.850261489999994,6793,134762,134661,0.008711750619113445,436
-8.576778411865234,324.41,0.2651662826538086,19,0.0003,-0.48527655005455017,48.392352159999994,6870,136258,136157,0.009071310050785542,440
-8.181690216064453,329.36,0.4596354365348816,19,0.0003,1.629995346069336,49.24990413,6941,137628,137527,0.009448199532926083,444
-9.069112777709961,328.71,0.06627930700778961,19,0.0003,1.8799364566802979,49.17256944999999,7010,138960,138859,0.009784451685845852,448
-8.637267112731934,328.96,0.1203465461730957,19,0.0003,0.4155125021934509,49.49089480999999,7085,140409,140308,0.009257426485419273,452
-8.624917984008789,327.72,0.09449872374534607,19,0.0003,-0.42493268847465515,49.25123902999999,7162,141885,141784,0.00850728154182434,456
-8.199898719787598,326.9,0.2980611026287079,19,0.0003,0.1967247575521469,48.711436379999995,7224,143073,142972,0.008804653771221638,460
-8.511953353881836,323.86,0.12232518941164017,19,0.0003,-0.20011593401432037,48.21073827000001,7278,144134,144033,0.008648185059428215,464
-8.252985000610352,312.43,0.28658050298690796,19,0.0003,-0.8384714722633362,46.24399518999999,7334,145205,145104,0.008458567783236504,468
-8.49632453918457,313.83,0.4172496795654297,19,0.0003,-0.8183342814445496,46.68385446,7395,146384,146283,0.008600936271250248,472
-8.589155197143555,314.41,0.17587004601955414,19,0.0003,0.7303822636604309,46.933475519999995,7459,147617,147516,0.007949894294142723,476
-8.75739860534668,318.32,0.14678053557872772,19,0.0003,-1.4710559844970703,47.56000665000001,7536,149092,148991,0.008492455817759037,480
-8.81229019165039,318.71,0.08649832010269165,19,0.0003,1.6592367887496948,47.53847970000002,7606,150457,150356,0.008428114466369152,484
-8.136314392089844,315.47,0.6545605659484863,19,0.0003,2.096187114715576,46.93798026999999,7666,151619,151518,0.007757962681353092,488
-8.772486686706543,316.23,0.4012452960014343,19,0.0003,-0.25245094299316406,46.642005039999994,7729,152844,152743,0.008187511935830116,492
-8.768465042114258,317.75,0.1875419020652771,19,0.0003,1.2729002237319946,46.52895337000001,7789,154117,154016,0.008534764871001244,496
-8.549723625183105,315.75,0.3765665590763092,19,0.0003,1.2886911630630493,45.86996755,7841,155234,155133,0.00808928906917572,500
-8.01473331451416,315.52,0.47736087441444397,19,0.0003,0.7491357922554016,45.857947280000005,7906,156592,156491,0.007971432991325855,504
-8.746048927307129,316.67,0.5685428977012634,19,0.0003,-0.18367744982242584,46.06574885,7970,157940,157839,0.008259608410298824,508
-9.047651290893555,317.03,0.6412138938903809,19,0.0003,-1.6315934658050537,45.73735624999999,8047,159477,159376,0.007812786847352982,512
-8.546680450439453,316.8,0.5580147504806519,19,0.0003,-0.7700512409210205,45.85294596,8099,160568,160467,0.007842160761356354,516
-9.026711463928223,316.2,0.06575103104114532,19,0.0003,-0.02184121310710907,45.832621169999996,8138,161425,161324,0.008107345551252365,520
-8.881482124328613,318.05,0.3079901337623596,19,0.0003,-0.29570624232292175,46.08372021,8203,162758,162657,0.00830210279673338,524
-8.789840698242188,324.42,0.1964503973722458,19,0.0003,-1.0403047800064087,47.135892840000004,8290,164417,164316,0.007579445838928223,528
-8.438331604003906,323.24,0.42254525423049927,19,0.0003,-1.4848088026046753,47.14722353,8359,165724,165623,0.007761748041957617,532
-8.70141887664795,319.92,0.5262422561645508,19,0.0003,-0.4065992832183838,46.58829898,8414,166754,166653,0.007548917550593615,536
-8.958770751953125,316.14,0.30919840931892395,19,0.0003,-0.6153773069381714,45.91610936999999,8468,167872,167771,0.008051145821809769,540
-8.803384780883789,311.61,0.49283236265182495,19,0.0003,-0.17937354743480682,45.28194976,8510,168789,168688,0.007725904695689678,544
