train/actor_loss,rollout/ep_rew_mean,train/ent_coef_loss,time/total_timesteps,time/fps,train/n_updates,time/time_elapsed,time/episodes,train/learning_rate,train/ent_coef,train/critic_loss,rollout/ep_len_mean
-11.212301254272461,45.9236314,1.4934275150299072,45081,24,44980,1827,124,0.0003,0.010629118420183659,0.6718190908432007,352.43
-10.907695770263672,45.87162880999999,1.1277426481246948,46235,24,46134,1877,128,0.0003,0.011125403456389904,1.111738681793213,348.03
-11.13801097869873,46.269606100000004,-0.9391151666641235,47474,24,47373,1931,132,0.0003,0.010553249157965183,0.2530985176563263,342.34
-11.027650833129883,47.38750507999999,-1.699596643447876,49006,24,48905,1997,136,0.0003,0.011604406870901585,0.7423063516616821,339.22
-11.103097915649414,48.74434265000001,0.031088650226593018,50449,24,50348,2061,140,0.0003,0.011581150814890862,0.11342354863882065,340.89
-10.98358154296875,49.05080972999999,-0.9844995141029358,51993,24,51892,2127,144,0.0003,0.011514902114868164,0.1393958181142807,338.93
-10.770296096801758,49.15702467,0.006660439074039459,53065,24,52964,2174,148,0.0003,0.011636972427368164,0.3611629009246826,336.64
-10.706122398376465,49.66915977000001,0.9222972989082336,54347,24,54246,2230,152,0.0003,0.011849675327539444,0.8133100271224976,336.01
-10.661371231079102,49.59069719,-0.04657943174242973,55703,24,55602,2290,156,0.0003,0.012559465132653713,0.5185824036598206,332.58
-10.742142677307129,48.253365439999996,-0.3222264051437378,56681,24,56580,2332,160,0.0003,0.012710681185126305,1.269882321357727,324.04
-10.577934265136719,49.15760055,1.494970440864563,58208,24,58107,2399,164,0.0003,0.012128038331866264,0.7805733680725098,324.36
-10.315996170043945,48.38475903,0.2736354470252991,59462,24,59361,2454,168,0.0003,0.012252121232450008,0.5153290033340454,321.74
-10.034649848937988,49.669421969999995,1.080504059791565,61011,24,60910,2522,172,0.0003,0.012748113833367825,0.3783436119556427,325.86
-10.315357208251953,51.82381147,-1.4506438970565796,62715,24,62614,2597,176,0.0003,0.01255043689161539,0.16316282749176025,333.55
-10.191888809204102,50.778055399999985,-0.8352082371711731,64000,24,63899,2654,180,0.0003,0.011877914890646935,0.5671594142913818,329.69
-10.442100524902344,50.80717126,0.06928238272666931,65394,24,65293,2716,184,0.0003,0.011552548035979271,0.10993251204490662,330.38
