train/ent_coef,time/total_timesteps,train/n_updates,time/episodes,time/fps,train/actor_loss,rollout/ep_len_mean,train/learning_rate,train/critic_loss,time/time_elapsed,rollout/ep_rew_mean,train/ent_coef_loss
0.011230318807065487,26622,26521,88,19,-13.260396003723145,302.52272727272725,0.0003,0.24173423647880554,1395,34.71546601136364,1.0762947797775269
0.011148354969918728,27618,27517,92,19,-12.951229095458984,300.19565217391306,0.0003,0.6660221219062805,1450,34.93983243478261,-0.9302436709403992
0.01113160140812397,28862,28761,96,19,-12.544052124023438,300.6458333333333,0.0003,0.34206622838974,1517,35.52445798958334,-0.922956109046936
0.013141699135303497,30102,30001,100,18,-12.406161308288574,301.02,0.0003,0.6515378952026367,1585,36.35119575000001,-0.7835202813148499
0.013634574599564075,31177,31076,104,18,-11.832664489746094,295.6,0.0003,0.5943198800086975,1645,36.79260103,0.9562227725982666
0.013861292041838169,32244,32143,108,18,-12.012303352355957,293.86,0.0003,1.498477578163147,1703,37.32619071,-1.2624313831329346
0.012141590006649494,33474,33373,112,18,-11.5178861618042,292.25,0.0003,0.27202844619750977,1771,37.88410265,0.7361995577812195
0.012021355330944061,34836,34735,116,18,-11.993165969848633,292.65,0.0003,0.41572022438049316,1847,38.81457382,-0.3213297128677368
0.012218783609569073,35907,35806,120,18,-11.597843170166016,290.27,0.0003,0.4986383318901062,1906,39.47161257,-1.39389169216156
0.012439403682947159,36854,36753,124,18,-11.483298301696777,287.49,0.0003,0.13540104031562805,1959,39.84031471,-0.13444867730140686
0.012627658434212208,37714,37613,128,18,-11.154237747192383,281.65,0.0003,0.46168839931488037,2006,39.644883379999996,-0.018209941685199738
0.011940045282244682,38649,38548,132,18,-11.166650772094727,280.1,0.0003,1.1814086437225342,2058,40.296861979999996,-0.9562190771102905
0.012355360202491283,39609,39508,136,18,-10.76548957824707,277.53,0.0003,1.6024682521820068,2110,40.49358713000001,0.37112662196159363
0.013091713190078735,40495,40394,140,18,-11.177938461303711,275.47,0.0003,0.28757280111312866,2159,40.73390008,0.6850103735923767
0.013256270438432693,41665,41564,144,18,-10.747771263122559,273.27,0.0003,0.6904870271682739,2224,40.70894192,-0.9521766901016235
0.013396883383393288,42772,42671,148,18,-10.2947998046875,272.61,0.0003,0.22590500116348267,2285,40.8721468,1.4046777486801147
0.013888604007661343,43654,43553,152,18,-10.065939903259277,268.82,0.0003,0.21343639492988586,2334,40.94272683,1.6956672668457031
0.01471799798309803,44722,44621,156,18,-10.264147758483887,267.4,0.0003,0.2307802438735962,2393,40.991471119999986,-0.3795667886734009
0.014050569385290146,45540,45439,160,18,-9.524678230285645,265.22,0.0003,0.5840880274772644,2438,40.914115249999995,0.714104413986206
0.013842322863638401,46541,46440,164,18,-9.92609977722168,264.45,0.0003,0.7235029935836792,2493,40.926272680000004,-2.0701115131378174
0.01504894532263279,47491,47390,168,18,-9.657088279724121,261.36,0.0003,0.8331587314605713,2545,41.145015380000004,0.3001219630241394
0.014361344277858734,48595,48494,172,18,-9.645584106445312,260.05,0.0003,0.643487811088562,2606,41.28941395999999,0.832327663898468
0.015369800850749016,49618,49517,176,18,-9.565053939819336,259.08,0.0003,0.886620819568634,2663,40.828828429999994,0.09011569619178772
0.01533995009958744,50684,50583,180,18,-9.357858657836914,260.4,0.0003,1.5182702541351318,2722,41.154062700000004,0.9148772358894348
0.014491993002593517,51666,51565,184,18,-9.48952865600586,261.41,0.0003,0.16386473178863525,2776,41.36096564,-1.501793622970581
0.01622811146080494,52445,52344,188,18,-9.335960388183594,258.23,0.0003,1.0625054836273193,2819,40.93910983999999,0.6135880947113037
0.013725651428103447,53271,53170,192,18,-9.648439407348633,256.53,0.0003,0.35704830288887024,2865,40.54968197999999,-0.2560916543006897
