rollout/ep_len_mean,time/time_elapsed,train/critic_loss,rollout/ep_rew_mean,train/ent_coef,time/fps,time/episodes,train/n_updates,train/ent_coef_loss,time/total_timesteps,train/learning_rate,train/actor_loss
283.99,4581,0.14036588370800018,22.72217552,0.005603783298283815,22,352,105046,-0.04848030209541321,105147,0.0003,-4.719421863555908
280.75,4626,0.172769695520401,22.79244926000001,0.005675069987773895,22,356,106016,1.5867518186569214,106117,0.0003,-4.695988178253174
283.08,4680,0.019599176943302155,23.038675130000005,0.005684704054147005,22,360,107211,-0.0819377601146698,107312,0.0003,-4.635642051696777
280.2,4730,0.29210180044174194,22.658748950000003,0.00585569953545928,22,364,108293,-2.705016613006592,108394,0.0003,-4.767270088195801
279.47,4778,0.19241863489151,22.53299609,0.00559605285525322,22,368,109337,0.5602034330368042,109438,0.0003,-4.818589210510254
275.07,4830,0.1433732807636261,22.041158980000006,0.005863254424184561,22,372,110470,0.37087857723236084,110571,0.0003,-4.744356155395508
276.23,4880,0.10806116461753845,22.210625959999998,0.00598880322650075,22,376,111570,1.12996506690979,111671,0.0003,-4.722296714782715
281.34,4939,0.24804209172725677,22.85913633,0.005801843944936991,22,380,112858,0.3798767030239105,112959,0.0003,-4.7193708419799805
280.28,4988,0.21222713589668274,22.85429234,0.0058237044140696526,22,384,113917,0.43431150913238525,114018,0.0003,-4.6596574783325195
282.09,5046,0.08483529835939407,23.142337150000003,0.005949334241449833,22,388,115165,1.4275145530700684,115266,0.0003,-4.883098602294922
281.3,5087,0.2638990879058838,22.957384469999997,0.005834564100950956,22,392,116059,-0.6012157201766968,116160,0.0003,-4.705663681030273
281.17,5132,0.0245203860104084,23.001165489999998,0.005903314799070358,22,396,117047,1.2894223928451538,117148,0.0003,-4.4679436683654785
279.87,5185,0.19800995290279388,23.202104199999997,0.005795011762529612,22,400,118189,0.942685604095459,118290,0.0003,-4.669693946838379
280.51,5235,0.28540560603141785,23.32158734,0.005779472645372152,22,404,119296,0.37209612131118774,119397,0.0003,-4.693063259124756
283.0,5292,0.07313661277294159,23.62542962,0.005907358601689339,22,408,120529,-0.4741513729095459,120630,0.0003,-4.410900115966797
283.46,5341,0.200844407081604,23.708719119999998,0.005654460284858942,22,412,121604,0.08921891450881958,121705,0.0003,-4.741426467895508
289.85,5422,0.06083141639828682,24.196989319999997,0.005726637318730354,22,416,123367,-0.8200407028198242,123468,0.0003,-4.567427158355713
290.5,5482,0.11318909376859665,24.243964350000002,0.0058362726122140884,22,420,124663,-3.1069259643554688,124764,0.0003,-4.958961009979248
290.77,5533,0.11132332682609558,24.382322339999995,0.005785408895462751,22,424,125780,0.5169930458068848,125881,0.0003,-4.536783695220947
288.63,5580,0.07077902555465698,24.211844620000008,0.005728617776185274,22,428,126783,-2.087998867034912,126884,0.0003,-4.734761714935303
289.73,5626,0.09560859203338623,24.18186059,0.006019058637320995,22,432,127787,1.5407687425613403,127888,0.0003,-4.827439308166504
287.43,5679,0.04064151644706726,23.970461420000003,0.0057980576530098915,22,436,128933,0.05689595639705658,129034,0.0003,-4.803257942199707
280.95,5715,0.045305635780096054,23.353686940000003,0.006046844646334648,22,440,129715,1.00199294090271,129816,0.0003,-4.594664096832275
279.25,5761,0.04331068694591522,23.069047620000003,0.005882841069251299,22,444,130698,0.2930506467819214,130799,0.0003,-4.604894161224365
280.84,5821,0.16533327102661133,23.221172249999995,0.0057275607250630856,22,448,131979,-0.59092116355896,132080,0.0003,-4.702393531799316
280.03,5873,0.12638810276985168,23.100257539999994,0.005430243909358978,22,452,133049,-0.2712283134460449,133150,0.0003,-4.596991539001465
282.72,5933,0.09044474363327026,23.138975750000004,0.00566307594999671,22,456,134288,2.070915699005127,134389,0.0003,-4.505835056304932
282.81,5991,0.07293286919593811,23.134213379999995,0.005450637079775333,22,460,135492,1.3303916454315186,135593,0.0003,-4.517280578613281
