rollout/ep_len_mean,train/learning_rate,train/actor_loss,time/fps,train/n_updates,rollout/ep_rew_mean,train/ent_coef,time/time_elapsed,time/episodes,time/total_timesteps,train/critic_loss,train/ent_coef_loss
311.02,0.0003,-7.197501182556152,13,52863,32.10012803,0.006199632305651903,4010,164,52964,0.281933456659317,-2.6755456924438477
312.0,0.0003,-7.266262054443359,13,54022,32.02238312,0.00729529932141304,4092,168,54123,0.09299895167350769,1.1591488122940063
315.87,0.0003,-7.344137668609619,13,55271,32.38691162000001,0.007304669823497534,4185,172,55372,0.2340393364429474,-0.9606201648712158
314.62,0.0003,-7.0229034423828125,13,56184,32.17835574,0.006511503364890814,4253,176,56285,0.21801738440990448,-0.6431686878204346
311.8,0.0003,-7.195268630981445,13,57390,32.39781076,0.00561211071908474,4341,180,57491,0.09808118641376495,-2.6361355781555176
309.02,0.0003,-7.019819259643555,13,58370,32.30682155,0.005549902096390724,4411,184,58471,0.13972830772399902,-0.048473358154296875
308.37,0.0003,-6.687957286834717,13,59496,32.60684658,0.0059608775191009045,4492,188,59597,0.5968943238258362,1.1124264001846313
302.69,0.0003,-6.728342533111572,13,60470,32.06037068,0.00583299808204174,4565,192,60571,0.3692284822463989,-0.04145091772079468
301.38,0.0003,-6.753757476806641,13,61682,32.08908199,0.005930595099925995,4652,196,61783,0.16424283385276794,0.23888590931892395
299.33,0.0003,-6.709351539611816,13,62756,31.95750518,0.005947311874479055,4724,200,62857,0.19230951368808746,-0.37118223309516907
298.27,0.0003,-6.614056587219238,13,63925,32.179810579999995,0.006093628704547882,4809,204,64026,0.10943074524402618,-0.2382940948009491
296.03,0.0003,-6.799389362335205,13,64900,32.142942659999996,0.006276628002524376,4883,208,65001,0.24743428826332092,-0.550045907497406
297.9,0.0003,-6.59763765335083,13,66084,32.26993992,0.006462965626269579,4972,212,66185,0.2889745533466339,2.207458257675171
298.98,0.0003,-6.764720916748047,13,67484,32.675810569999996,0.006440335884690285,5071,216,67585,0.13843485713005066,-0.7215315103530884
295.56,0.0003,-6.722014427185059,13,68369,32.38432457,0.00677056610584259,5137,220,68470,0.14103421568870544,1.7816320657730103
291.79,0.0003,-6.234561920166016,13,69282,32.19560635,0.006653153337538242,5206,224,69383,0.17636826634407043,-0.11624246835708618
289.8,0.0003,-6.982126235961914,13,70489,32.03082536,0.0063757807947695255,5297,228,70590,0.18745097517967224,-1.7801401615142822
283.86,0.0003,-6.77793025970459,13,71558,31.876801819999997,0.005985077936202288,5376,232,71659,0.42425841093063354,-0.20799705386161804
282.94,0.0003,-6.1523847579956055,13,72757,32.063313019999995,0.0062411995604634285,5466,236,72858,0.5408940315246582,0.25893092155456543
277.13,0.0003,-6.761201858520508,13,73603,31.14109638,0.005700944922864437,5526,240,73704,0.14082321524620056,-0.7117077112197876
