train/ent_coef,time/total_timesteps,time/time_elapsed,train/actor_loss,train/critic_loss,train/n_updates,time/fps,train/learning_rate,train/ent_coef_loss,rollout/ep_rew_mean,rollout/ep_len_mean,time/episodes
0.009247605688869953,52109,3901,-7.250819683074951,0.12993910908699036,52008,13,0.0003,1.6737401485443115,29.648938389999994,296.71,164
0.009506088681519032,53120,3976,-7.10527229309082,0.2863779664039612,53019,13,0.0003,-1.259145736694336,29.921021360000005,290.63,168
0.010008290410041809,54757,4094,-7.248646259307861,0.5851756930351257,54656,13,0.0003,-0.5735772848129272,31.21146822,290.51,172
0.009305831976234913,55893,4173,-7.1666178703308105,0.1742473542690277,55792,13,0.0003,-0.31741148233413696,31.593180770000004,285.41,176
0.009437127970159054,57075,4258,-7.115882873535156,0.10143411159515381,56974,13,0.0003,0.17630836367607117,32.04728251,282.07,180
0.00877776276320219,58267,4345,-7.379528045654297,0.2939144968986511,58166,13,0.0003,-1.5395760536193848,32.67283069,280.61,184
0.007767749950289726,59289,4419,-7.260605812072754,0.1126091256737709,59188,13,0.0003,4.18731689453125,33.05242484,281.01,188
0.008313805796205997,60433,4498,-7.162647724151611,0.30823448300361633,60332,13,0.0003,2.5375401973724365,33.13683274,278.0,192
0.009010386653244495,61766,4592,-7.356897354125977,0.1775270700454712,61665,13,0.0003,0.22533132135868073,33.45577638,280.07,196
0.00868623610585928,62854,4673,-7.5859055519104,0.2275366634130478,62753,13,0.0003,0.1977177858352661,33.81392825,280.94,200
0.009586715139448643,63796,4738,-7.080633163452148,0.17062720656394958,63695,13,0.0003,-1.7111072540283203,33.5889393,277.47,204
0.009622570127248764,65126,4830,-7.227128982543945,0.14340731501579285,65025,13,0.0003,-0.9843524694442749,34.058258939999995,278.74,208
0.00986404623836279,66683,4946,-7.439384937286377,0.0658915787935257,66582,13,0.0003,-0.8638972043991089,35.0476267,284.96,212
0.009374749846756458,68335,5062,-7.37039852142334,0.33053985238075256,68234,13,0.0003,2.065147638320923,36.11858873,291.38,216
0.00967149157077074,69827,5167,-7.508508682250977,0.4902855157852173,69726,13,0.0003,0.6474156379699707,37.069154139999995,296.98,220
0.009007920511066914,71087,5259,-7.45651388168335,0.2068987339735031,70986,13,0.0003,-1.6359713077545166,37.32425443,298.15,224
0.00862851645797491,72517,5365,-7.417882442474365,0.30389583110809326,72416,13,0.0003,-1.2093898057937622,38.13561799000001,303.68,228
0.009298207238316536,73639,5448,-7.480354309082031,0.09592379629611969,73538,13,0.0003,0.14245718717575073,38.03899346,302.94,232
0.009365049190819263,74945,5545,-7.484222412109375,0.2546289563179016,74844,13,0.0003,0.05163555592298508,38.32400662,305.31,236
0.009077289141714573,76183,5633,-7.5949811935424805,0.47077131271362305,76082,13,0.0003,-0.3039136528968811,38.735723750000005,306.61,240
0.00923463236540556,77623,5731,-7.464070796966553,0.23575164377689362,77522,13,0.0003,1.4934475421905518,39.75491857,312.19,244
0.00946600828319788,79047,5829,-7.2070698738098145,0.07776561379432678,78946,13,0.0003,2.0996992588043213,39.78309279,314.07,248
0.00965050794184208,80188,5915,-7.781779766082764,0.3742576837539673,80087,13,0.0003,0.6665822863578796,39.54631664,313.16,252
0.010004544630646706,81638,6023,-7.527294635772705,0.1345028281211853,81537,13,0.0003,2.1338648796081543,40.259834,317.98,256
0.00982188992202282,83540,6157,-7.4586286544799805,0.07649791240692139,83439,13,0.0003,-0.9757831692695618,41.56900515,326.21,260
0.010089682415127754,85290,6282,-7.271724700927734,0.08359809219837189,85189,13,0.0003,1.8970426321029663,42.094115040000005,331.81,264
0.010695258155465126,86945,6404,-7.432759761810303,0.09189212322235107,86844,13,0.0003,-2.8965001106262207,43.04387033,338.25,268
0.009887728840112686,88172,6497,-7.075887203216553,0.5404435396194458,88071,13,0.0003,0.22210775315761566,42.111067919999996,334.15,272
0.010339625179767609,89851,6619,-7.614501953125,0.23916339874267578,89750,13,0.0003,-0.7618456482887268,42.89581294999999,339.58,276
0.010566295124590397,91389,6732,-6.95009183883667,0.14794939756393433,91288,13,0.0003,-0.48740875720977783,43.30715501999999,343.14,280
0.010120867751538754,93170,6867,-7.009132385253906,0.7232797145843506,93069,13,0.0003,1.8286736011505127,44.18827373000001,349.03,284
0.009703915566205978,94545,6972,-7.434722423553467,0.4938097596168518,94444,13,0.0003,-1.64517343044281,45.02001839,352.56,288
0.010208946652710438,95896,7073,-7.283214092254639,0.05447142571210861,95795,13,0.0003,0.8982675671577454,45.43798149,354.63,292
0.009734568186104298,97271,7176,-7.4185051918029785,0.1371012181043625,97170,13,0.0003,-0.9402790069580078,45.66802709,355.05,296
0.00994503777474165,98801,7289,-7.214087009429932,0.09989820420742035,98700,13,0.0003,1.3833930492401123,46.348881889999994,359.47,300
0.009817464277148247,100498,7404,-7.555939674377441,0.08616593480110168,100397,13,0.0003,0.44078323245048523,47.45060591000001,367.02,304
0.010108944959938526,102039,7516,-7.2343597412109375,0.1781649887561798,101938,13,0.0003,-1.4237029552459717,48.20495877999999,369.13,308
0.008951259776949883,103778,7645,-7.462250232696533,0.14923077821731567,103677,13,0.0003,-1.592668890953064,48.68100788999999,370.95,312
0.009198511950671673,104986,7738,-7.352843761444092,0.4700937867164612,104885,13,0.0003,-1.2209111452102661,48.03966089000001,366.51,316
0.008609865792095661,106384,7831,-7.6100640296936035,0.4727669954299927,106283,13,0.0003,2.2569098472595215,47.93479950000001,365.57,320
0.008881901390850544,107616,7928,-7.538197994232178,0.23754870891571045,107515,13,0.0003,-0.12509922683238983,48.01772457,365.29,324
0.009074177592992783,109079,8035,-7.844686031341553,0.12096121162176132,108978,13,0.0003,-0.12449974566698074,47.740136109999995,365.62,328
0.009516601450741291,111072,8185,-7.562795639038086,0.28229257464408875,110971,13,0.0003,-1.6647642850875854,48.88199661999999,374.33,332
0.009241280145943165,112232,8271,-7.700248718261719,0.16605666279792786,112131,13,0.0003,-0.7282239198684692,48.57959828999999,372.87,336
0.009887262247502804,113704,8369,-7.906782150268555,0.3469811975955963,113603,13,0.0003,-2.205547332763672,48.42123792,375.21,340
0.009701029397547245,115001,8465,-7.27651309967041,0.09398402273654938,114900,13,0.0003,-0.2513471841812134,48.136089770000005,373.78,344
0.009510790929198265,116456,8569,-7.6015191078186035,0.4870493412017822,116355,13,0.0003,0.49231305718421936,48.37311328,374.09,348
0.009444222785532475,118340,8708,-7.515750885009766,0.11069750040769577,118239,13,0.0003,-0.21298235654830933,49.22581198999999,381.52,352
0.009197534061968327,119816,8820,-7.8051629066467285,0.3239741623401642,119715,13,0.0003,-1.7522996664047241,49.27424824999999,381.78,356
0.00929515715688467,121118,8917,-7.6429643630981445,0.24394482374191284,121017,13,0.0003,-0.6672561764717102,48.45132273,375.78,360
0.009025880135595798,122512,9017,-7.8495330810546875,0.20530498027801514,122411,13,0.0003,-1.5670270919799805,48.21508302,372.22,364
